"","gene_name","gene_type","total","known","ISM.pre","ISM.suffix","NIC","NNC"
"43","ABCB7","protein_coding",16,8,2,5,1,0
"44","ABCB8","protein_coding",22,7,1,9,6,0
"45","ABCB9","protein_coding",26,8,1,4,13,0
"46","ABCC1","protein_coding",6,2,0,4,0,0
"47","ABCC10","protein_coding",20,2,6,9,5,0
"48","ABCC3","protein_coding",1,1,0,0,0,0
"49","ABCC4","protein_coding",10,4,2,4,0,0
"50","ABCC5","protein_coding",45,9,7,23,6,2
"51","ABCC6","protein_coding",1,1,0,0,0,0
"52","ABCC6P1","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"53","ABCC8","protein_coding",10,9,0,1,0,0
"54","ABCC9","protein_coding",3,2,0,0,1,0
"55","ABCD1","protein_coding",3,2,0,1,0,0
"56","ABCD2","protein_coding",5,1,2,2,0,0
"57","ABCD3","protein_coding",12,4,1,6,1,0
"58","ABCD4","protein_coding",42,11,5,3,23,0
"59","ABCE1","protein_coding",29,3,2,15,8,1
"60","ABCF1","protein_coding",43,4,15,20,9,1
"61","ABCF2","protein_coding",24,1,2,12,5,5
"62","ABCF3","protein_coding",38,6,1,4,26,1
"63","ABCG1","protein_coding",3,3,0,0,0,0
"64","ABCG2","protein_coding",9,2,1,1,4,1
"65","ABCG4","protein_coding",5,3,0,1,1,0
"66","ABHD1","protein_coding",1,1,0,0,0,0
"67","ABHD10","protein_coding",5,5,0,0,0,0
"68","ABHD11","protein_coding",9,6,2,0,1,0
"69","ABHD12","protein_coding",13,3,4,1,5,0
"70","ABHD13","protein_coding",1,1,0,0,0,0
"71","ABHD14A","protein_coding",4,3,1,0,0,0
"72","ABHD14A-ACY1","protein_coding",3,2,0,0,1,0
"73","ABHD14B","protein_coding",5,5,0,0,0,0
"74","ABHD15","protein_coding",1,1,0,0,0,0
"75","ABHD16A","protein_coding",29,6,1,1,18,3
"76","ABHD17A","protein_coding",4,2,0,2,0,0
"77","ABHD17B","protein_coding",7,2,1,2,1,1
"78","ABHD17C","protein_coding",2,1,0,1,0,0
"79","ABHD18","protein_coding",4,2,1,0,1,0
"80","ABHD2","protein_coding",3,2,1,0,0,0
"81","ABHD3","protein_coding",13,6,0,1,4,2
"82","ABHD4","protein_coding",7,2,0,1,3,1
"83","ABHD5","protein_coding",9,6,1,2,1,0
"84","ABHD6","protein_coding",15,4,1,6,3,1
"85","ABHD8","protein_coding",2,1,0,1,0,0
"86","ABI1","protein_coding",34,10,3,14,6,1
"87","ABI2","protein_coding",29,7,3,3,16,1
"88","ABI3","protein_coding",1,1,0,0,0,0
"89","ABI3BP","protein_coding",2,1,1,0,0,0
"90","ABITRAM","protein_coding",8,4,0,2,2,0
"91","ABL1","protein_coding",16,2,1,9,2,1
"92","ABL2","protein_coding",1,1,0,0,0,0
"93","ABLIM1","protein_coding",22,2,0,11,9,0
"94","ABLIM2","protein_coding",18,3,1,0,14,0
"95","ABLIM3","protein_coding",27,1,3,16,7,1
"96","ABR","protein_coding",71,10,3,20,29,9
"97","ABRACL","protein_coding",4,1,0,0,0,3
"98","ABRAXAS1","protein_coding",6,4,1,0,1,0
"99","ABRAXAS2","protein_coding",16,1,1,6,3,5
"100","ABT1","protein_coding",4,1,1,1,1,0
"101","ABT1P1","processed_pseudogene",1,1,0,0,0,0
"102","ABTB1","protein_coding",15,4,0,1,10,0
"103","ABTB2","protein_coding",10,1,0,8,1,0
"104","AC000058.1","lncRNA",1,1,0,0,0,0
"105","AC000068.1","lncRNA",3,1,1,0,0,1
"106","AC000068.2","lncRNA",1,1,0,0,0,0
"107","AC000068.3","lncRNA",1,1,0,0,0,0
"108","AC000078.1","processed_pseudogene",1,1,0,0,0,0
"109","AC000082.1","lncRNA",1,0,0,0,0,0
"110","AC000093.1","protein_coding",1,1,0,0,0,0
"111","AC000095.1","processed_pseudogene",1,1,0,0,0,0
"112","AC000095.2","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"113","AC000095.3","polymorphic_pseudogene",1,1,0,0,0,0
"114","AC000120.3","protein_coding",2,0,0,2,0,0
"115","AC000123.2","TEC",1,1,0,0,0,0
"116","AC000123.3","TEC",1,1,0,0,0,0
"117","AC000367.1","processed_pseudogene",1,1,0,0,0,0
"118","AC000403.1","lncRNA",1,1,0,0,0,0
"119","AC000403.1","miRNA",1,1,0,0,0,0
"120","AC001226.1","lncRNA",1,1,0,0,0,0
"121","AC002044.2","TEC",1,1,0,0,0,0
"122","AC002044.3","TEC",1,1,0,0,0,0
"123","AC002056.1","processed_pseudogene",1,1,0,0,0,0
"124","AC002069.3","processed_pseudogene",1,1,0,0,0,0
"125","AC002094.4","lncRNA",1,1,0,0,0,0
"126","AC002115.1","lncRNA",1,1,0,0,0,0
"127","AC002116.1","lncRNA",3,0,1,1,1,0
"128","AC002310.1","lncRNA",3,2,0,0,0,1
"129","AC002310.2","lncRNA",1,1,0,0,0,0
"130","AC002310.4","protein_coding",5,1,1,1,2,0
"131","AC002310.5","TEC",1,1,0,0,0,0
"132","AC002316.1","protein_coding",5,1,0,3,1,0
"133","AC002350.2","TEC",1,1,0,0,0,0
"134","AC002395.1","miRNA",1,1,0,0,0,0
"135","AC002400.1","processed_pseudogene",1,1,0,0,0,0
"136","AC002401.3","lncRNA",1,1,0,0,0,0
"137","AC002429.1","processed_pseudogene",1,1,0,0,0,0
"138","AC002451.1","lncRNA",1,1,0,0,0,0
"139","AC002456.1","lncRNA",1,1,0,0,0,0
"140","AC002467.1","lncRNA",3,3,0,0,0,0
"141","AC002470.1","lncRNA",1,1,0,0,0,0
"142","AC002470.2","lncRNA",28,1,0,19,7,1
"143","AC002480.1","lncRNA",2,1,1,0,0,0
"144","AC002486.1","processed_pseudogene",1,0,1,0,0,0
"145","AC002519.1","lncRNA",1,1,0,0,0,0
"146","AC002540.1","TEC",1,1,0,0,0,0
"147","AC002550.2","lncRNA",1,1,0,0,0,0
"148","AC002553.1","lncRNA",1,1,0,0,0,0
"149","AC002553.2","lncRNA",1,1,0,0,0,0
"150","AC002558.1","processed_pseudogene",1,1,0,0,0,0
"151","AC002979.1","miRNA",1,1,0,0,0,0
"152","AC002984.1","processed_pseudogene",1,1,0,0,0,0
"153","AC003001.1","miRNA",1,1,0,0,0,0
"154","AC003002.3","protein_coding",13,2,0,4,6,1
"155","AC003006.1","miRNA",1,1,0,0,0,0
"156","AC003006.1","protein_coding",2,1,0,0,1,0
"157","AC003080.1","processed_pseudogene",1,1,0,0,0,0
"158","AC003086.1","lncRNA",1,1,0,0,0,0
"159","AC003102.1","lncRNA",2,2,0,0,0,0
"160","AC003681.1","lncRNA",1,1,0,0,0,0
"161","AC003681.1","miRNA",1,1,0,0,0,0
"162","AC003684.1","lncRNA",1,1,0,0,0,0
"163","AC003958.2","lncRNA",1,0,0,0,0,1
"164","AC003965.1","lncRNA",1,1,0,0,0,0
"165","AC003973.2","TEC",1,1,0,0,0,0
"166","AC003992.1","lncRNA",1,1,0,0,0,0
"167","AC004004.1","processed_pseudogene",1,1,0,0,0,0
"168","AC004019.18","lincRNA",1,1,0,0,0,0
"169","AC004023.1","lncRNA",1,1,0,0,0,0
"170","AC004024.1","processed_pseudogene",1,1,0,0,0,0
"171","AC004047.1","lncRNA",1,1,0,0,0,0
"172","AC004057.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"173","AC004067.1","lncRNA",1,1,0,0,0,0
"174","AC004069.1","lncRNA",1,1,0,0,0,0
"175","AC004076.1","protein_coding",1,1,0,0,0,0
"176","AC004076.2","lncRNA",1,1,0,0,0,0
"177","AC004130.2","lncRNA",2,2,0,0,0,0
"178","AC004134.1","processed_pseudogene",2,1,0,0,0,1
"179","AC004147.2","lncRNA",2,2,0,0,0,0
"180","AC004151.1","protein_coding",3,3,0,0,0,0
"181","AC004158.1","lncRNA",8,2,0,0,2,4
"182","AC004160.1","lncRNA",1,1,0,0,0,0
"183","AC004223.2","lncRNA",1,1,0,0,0,0
"184","AC004223.4","lncRNA",1,1,0,0,0,0
"185","AC004232.2","TEC",1,1,0,0,0,0
"186","AC004241.1","lncRNA",3,3,0,0,0,0
"187","AC004241.2","lncRNA",1,1,0,0,0,0
"188","AC004241.3","lncRNA",1,1,0,0,0,0
"189","AC004241.4","lncRNA",1,1,0,0,0,0
"190","AC004241.5","TEC",1,1,0,0,0,0
"191","AC004263.1","lncRNA",1,1,0,0,0,0
"192","AC004381.4","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"193","AC004408.2","TEC",1,1,0,0,0,0
"194","AC004453.1","processed_pseudogene",1,1,0,0,0,0
"195","AC004453.2","TEC",1,1,0,0,0,0
"196","AC004458.1","miRNA",1,1,0,0,0,0
"197","AC004466.1","lncRNA",1,1,0,0,0,0
"198","AC004466.2","lncRNA",1,1,0,0,0,0
"199","AC004466.3","lncRNA",1,1,0,0,0,0
"200","AC004477.1","lncRNA",1,1,0,0,0,0
"201","AC004477.3","lncRNA",1,1,0,0,0,0
"202","AC004491.1","TEC",1,1,0,0,0,0
"203","AC004492.1","lncRNA",1,1,0,0,0,0
"204","AC004494.1","lncRNA",1,1,0,0,0,0
"205","AC004540.1","lncRNA",14,12,0,0,2,0
"206","AC004540.2","lncRNA",2,2,0,0,0,0
"207","AC004552.1","processed_pseudogene",1,1,0,0,0,0
"208","AC004593.1","lncRNA",1,1,0,0,0,0
"209","AC004593.2","protein_coding",1,0,0,0,1,0
"210","AC004655.1","miRNA",1,1,0,0,0,0
"211","AC004678.1","processed_pseudogene",1,1,0,0,0,0
"212","AC004687.1","lncRNA",1,1,0,0,0,0
"213","AC004706.3","protein_coding",1,1,0,0,0,0
"214","AC004771.2","lncRNA",3,1,0,1,1,0
"215","AC004801.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"216","AC004801.6","lncRNA",1,1,0,0,0,0
"217","AC004803.1","lncRNA",6,4,0,1,1,0
"218","AC004812.2","lncRNA",1,1,0,0,0,0
"219","AC004816.1","lncRNA",3,3,0,0,0,0
"220","AC004816.2","lncRNA",1,1,0,0,0,0
"221","AC004817.3","lncRNA",1,1,0,0,0,0
"222","AC004825.2","lncRNA",1,1,0,0,0,0
"223","AC004832.4","lncRNA",1,1,0,0,0,0
"224","AC004834.1","lncRNA",1,1,0,0,0,0
"225","AC004836.1","TEC",1,1,0,0,0,0
"226","AC004837.1","processed_pseudogene",1,1,0,0,0,0
"227","AC004837.4","lncRNA",1,1,0,0,0,0
"228","AC004839.2","lncRNA",1,1,0,0,0,0
"229","AC004846.1","lncRNA",1,1,0,0,0,0
"230","AC004847.1","lncRNA",1,1,0,0,0,0
"231","AC004851.1","miRNA",1,1,0,0,0,0
"232","AC004852.2","lncRNA",1,1,0,0,0,0
"233","AC004858.1","processed_pseudogene",1,1,0,0,0,0
"234","AC004862.1","lncRNA",1,1,0,0,0,0
"235","AC004863.1","lncRNA",2,1,0,0,0,1
"236","AC004870.1","processed_pseudogene",1,1,0,0,0,0
"237","AC004877.1","lncRNA",1,1,0,0,0,0
"238","AC004877.2","TEC",1,1,0,0,0,0
"239","AC004882.2","lncRNA",1,1,0,0,0,0
"240","AC004889.1","pseudogene",1,1,0,0,0,0
"241","AC004890.2","transcribed_unprocessed_pseudogene",2,1,1,0,0,0
"242","AC004908.2","lncRNA",1,1,0,0,0,0
"243","AC004908.3","lncRNA",1,1,0,0,0,0
"244","AC004917.1","lncRNA",1,0,0,0,0,0
"245","AC004918.1","lncRNA",1,1,0,0,0,0
"246","AC004918.5","lncRNA",1,1,0,0,0,0
"247","AC004922.1","protein_coding",3,0,0,1,1,1
"248","AC004923.1","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"249","AC004925.1","TEC",1,1,0,0,0,0
"250","AC004938.2","lncRNA",1,1,0,0,0,0
"251","AC004943.1","lncRNA",1,1,0,0,0,0
"252","AC004943.1","miRNA",1,1,0,0,0,0
"253","AC004943.2","lncRNA",6,2,1,0,1,2
"254","AC004943.3","lncRNA",1,1,0,0,0,0
"255","AC004947.1","lncRNA",1,1,0,0,0,0
"256","AC004947.2","TEC",1,1,0,0,0,0
"257","AC004948.1","lncRNA",1,1,0,0,0,0
"258","AC004951.4","lncRNA",1,1,0,0,0,0
"259","AC004972.1","TEC",1,1,0,0,0,0
"260","AC004982.1","lncRNA",1,1,0,0,0,0
"261","AC004982.2","lncRNA",4,1,1,0,1,1
"262","AC004997.1","protein_coding",5,0,2,0,3,0
"263","AC005005.3","lncRNA",1,1,0,0,0,0
"264","AC005009.1","lncRNA",1,1,0,0,0,0
"265","AC005011.1","processed_pseudogene",1,1,0,0,0,0
"266","AC005013.1","lncRNA",1,1,0,0,0,0
"267","AC005014.1","processed_pseudogene",1,1,0,0,0,0
"268","AC005014.2","lncRNA",1,1,0,0,0,0
"269","AC005034.3","lncRNA",1,1,0,0,0,0
"270","AC005034.4","lncRNA",1,1,0,0,0,0
"271","AC005034.6","lncRNA",1,1,0,0,0,0
"272","AC005034.7","lncRNA",1,0,0,0,0,0
"273","AC005037.2","miRNA",1,1,0,0,0,0
"274","AC005041.1","protein_coding",1,0,0,0,0,1
"275","AC005041.4","lncRNA",1,1,0,0,0,0
"276","AC005042.1","processed_pseudogene",1,1,0,0,0,0
"277","AC005046.2","lncRNA",1,1,0,0,0,0
"278","AC005052.1","TEC",1,1,0,0,0,0
"279","AC005052.2","lncRNA",1,1,0,0,0,0
"280","AC005070.3","lncRNA",1,1,0,0,0,0
"281","AC005072.1","lncRNA",1,1,0,0,0,0
"282","AC005076.2","lncRNA",1,1,0,0,0,0
"283","AC005077.4","processed_pseudogene",1,1,0,0,0,0
"284","AC005081.1","lncRNA",1,1,0,0,0,0
"285","AC005082.1","lncRNA",1,1,0,0,0,0
"286","AC005088.1","miRNA",1,1,0,0,0,0
"287","AC005096.1","lncRNA",1,1,0,0,0,0
"288","AC005099.1","processed_pseudogene",1,1,0,0,0,0
"289","AC005100.1","lncRNA",1,1,0,0,0,0
"290","AC005104.2","processed_pseudogene",1,1,0,0,0,0
"291","AC005154.1","processed_pseudogene",1,1,0,0,0,0
"292","AC005154.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"293","AC005159.1","miRNA",1,1,0,0,0,0
"294","AC005162.1","lncRNA",1,1,0,0,0,0
"295","AC005162.2","lncRNA",1,1,0,0,0,0
"296","AC005165.1","lncRNA",1,1,0,0,0,0
"297","AC005189.1","processed_pseudogene",1,1,0,0,0,0
"298","AC005220.1","lncRNA",1,1,0,0,0,0
"299","AC005224.2","lncRNA",1,1,0,0,0,0
"300","AC005224.3","lncRNA",1,1,0,0,0,0
"301","AC005225.2","lncRNA",1,1,0,0,0,0
"302","AC005225.4","TEC",1,1,0,0,0,0
"303","AC005229.1","miRNA",1,1,0,0,0,0
"304","AC005229.4","lncRNA",1,1,0,0,0,0
"305","AC005244.1","processed_pseudogene",1,1,0,0,0,0
"306","AC005255.1","processed_pseudogene",1,1,0,0,0,0
"307","AC005261.1","protein_coding",11,3,2,2,1,3
"308","AC005261.2","lncRNA",1,1,0,0,0,0
"309","AC005261.4","lncRNA",1,1,0,0,0,0
"310","AC005261.6","TEC",1,1,0,0,0,0
"311","AC005277.2","lncRNA",1,1,0,0,0,0
"312","AC005280.1","lncRNA",1,1,0,0,0,0
"313","AC005288.1","lncRNA",2,2,0,0,0,0
"314","AC005300.1","processed_pseudogene",1,1,0,0,0,0
"315","AC005304.2","lncRNA",1,1,0,0,0,0
"316","AC005306.1","lncRNA",2,1,0,0,0,0
"317","AC005329.1","lncRNA",1,1,0,0,0,0
"318","AC005332.1","lncRNA",1,1,0,0,0,0
"319","AC005332.2","lncRNA",1,1,0,0,0,0
"320","AC005332.3","lncRNA",1,1,0,0,0,0
"321","AC005332.4","lncRNA",1,1,0,0,0,0
"322","AC005332.5","lncRNA",1,1,0,0,0,0
"323","AC005332.6","lncRNA",1,1,0,0,0,0
"324","AC005332.7","lncRNA",1,1,0,0,0,0
"325","AC005336.3","TEC",1,1,0,0,0,0
"326","AC005355.2","TEC",1,1,0,0,0,0
"327","AC005358.1","lncRNA",1,1,0,0,0,0
"328","AC005363.1","transcribed_processed_pseudogene",1,1,0,0,0,0
"329","AC005363.2","lncRNA",1,1,0,0,0,0
"330","AC005377.1","processed_pseudogene",1,1,0,0,0,0
"331","AC005393.1","lncRNA",1,1,0,0,0,0
"332","AC005400.1","lncRNA",1,1,0,0,0,0
"333","AC005476.1","processed_pseudogene",1,1,0,0,0,0
"334","AC005479.2","lncRNA",1,1,0,0,0,0
"335","AC005495.1","TEC",1,1,0,0,0,0
"336","AC005498.1","lncRNA",1,1,0,0,0,0
"337","AC005498.2","lncRNA",3,2,1,0,0,0
"338","AC005498.3","lncRNA",2,2,0,0,0,0
"339","AC005520.3","protein_coding",20,0,0,0,16,4
"340","AC005520.4","lncRNA",2,2,0,0,0,0
"341","AC005523.1","lncRNA",1,1,0,0,0,0
"342","AC005532.1","lncRNA",2,2,0,0,0,0
"343","AC005534.1","lncRNA",1,1,0,0,0,0
"344","AC005537.2","lncRNA",1,0,0,0,0,1
"345","AC005538.2","TEC",1,1,0,0,0,0
"346","AC005546.1","lncRNA",1,1,0,0,0,0
"347","AC005548.1","lncRNA",1,1,0,0,0,0
"348","AC005549.1","lncRNA",1,1,0,0,0,0
"349","AC005562.1","lncRNA",9,1,2,1,5,0
"350","AC005578.1","TEC",1,1,0,0,0,0
"351","AC005586.1","lncRNA",1,0,0,0,0,1
"352","AC005586.2","lncRNA",1,1,0,0,0,0
"353","AC005588.1","processed_pseudogene",1,1,0,0,0,0
"354","AC005592.1","lncRNA",1,1,0,0,0,0
"355","AC005593.1","TEC",1,1,0,0,0,0
"356","AC005606.1","protein_coding",1,1,0,0,0,0
"357","AC005606.2","lncRNA",2,2,0,0,0,0
"358","AC005609.1","protein_coding",1,1,0,0,0,0
"359","AC005609.2","lncRNA",1,1,0,0,0,0
"360","AC005609.3","lncRNA",1,1,0,0,0,0
"361","AC005609.5","lncRNA",1,0,1,0,0,0
"362","AC005614.1","lncRNA",1,1,0,0,0,0
"363","AC005614.2","lncRNA",1,0,1,0,0,0
"364","AC005618.1","lncRNA",2,2,0,0,0,0
"365","AC005618.3","lncRNA",1,1,0,0,0,0
"366","AC005618.4","lncRNA",1,1,0,0,0,0
"367","AC005632.3","lncRNA",1,1,0,0,0,0
"368","AC005670.3","lncRNA",10,10,0,0,0,0
"369","AC005674.2","lncRNA",1,1,0,0,0,0
"370","AC005686.1","miRNA",1,1,0,0,0,0
"371","AC005695.3","lncRNA",1,1,0,0,0,0
"372","AC005696.1","lncRNA",1,1,0,0,0,0
"373","AC005696.3","lncRNA",1,1,0,0,0,0
"374","AC005696.4","lncRNA",1,1,0,0,0,0
"375","AC005702.2","miRNA",1,1,0,0,0,0
"376","AC005703.3","lncRNA",1,0,0,0,0,1
"377","AC005703.6","TEC",1,1,0,0,0,0
"378","AC005722.3","lncRNA",1,1,0,0,0,0
"379","AC005730.2","lncRNA",1,1,0,0,0,0
"380","AC005730.3","lncRNA",1,1,0,0,0,0
"381","AC005740.1","processed_pseudogene",1,1,0,0,0,0
"382","AC005740.4","lncRNA",1,1,0,0,0,0
"383","AC005740.5","lncRNA",1,1,0,0,0,0
"384","AC005746.3","lncRNA",1,1,0,0,0,0
"385","AC005747.1","protein_coding",21,6,1,10,4,1
"386","AC005753.3","lncRNA",1,1,0,0,0,0
"387","AC005776.1","processed_pseudogene",1,1,0,0,0,0
"388","AC005785.1","lncRNA",1,1,0,0,0,0
"389","AC005785.2","TEC",1,1,0,0,0,0
"390","AC005821.1","lncRNA",3,2,0,0,0,1
"391","AC005822.1","processed_pseudogene",1,1,0,0,0,0
"392","AC005828.7","transcribed_processed_pseudogene",1,1,0,0,0,0
"393","AC005829.1","transcribed_unprocessed_pseudogene",1,1,0,0,0,0
"394","AC005829.2","processed_pseudogene",1,1,0,0,0,0
"395","AC005833.1","protein_coding",17,1,1,0,11,4
"396","AC005833.2","lncRNA",1,1,0,0,0,0
"397","AC005837.1","lncRNA",1,1,0,0,0,0
"398","AC005837.4","lncRNA",1,1,0,0,0,0
"399","AC005838.3","lncRNA",1,1,0,0,0,0
"400","AC005839.1","TEC",1,1,0,0,0,0
"401","AC005863.1","lncRNA",1,1,0,0,0,0
"402","AC005899.5","lncRNA",1,0,1,1,0,0
"403","AC005899.7","lncRNA",1,1,0,0,0,0
"404","AC005899.8","lncRNA",1,1,0,0,0,0
"405","AC005908.3","lncRNA",3,2,0,0,1,0
"406","AC005914.1","lncRNA",1,1,0,0,0,0
"407","AC005915.1","TEC",1,1,0,0,0,0
"408","AC005921.5","lncRNA",1,1,0,0,0,0
"409","AC005943.1","protein_coding",5,1,0,1,3,0
"410","AC005962.1","lncRNA",1,1,0,0,0,0
"411","AC005999.1","lncRNA",1,1,0,0,0,0
"412","AC006001.1","processed_pseudogene",1,1,0,0,0,0
"413","AC006001.3","transcribed_unprocessed_pseudogene",13,3,7,1,2,0
"414","AC006001.4","processed_pseudogene",1,1,0,0,0,0
"415","AC006008.1","lncRNA",1,1,0,0,0,0
"416","AC006023.2","processed_pseudogene",1,1,0,0,0,0
"417","AC006027.1","lncRNA",1,1,0,0,0,0
"418","AC006028.1","processed_pseudogene",1,1,0,0,0,0
"419","AC006058.1","lncRNA",1,1,0,0,0,0
"420","AC006058.2","lncRNA",3,1,0,0,0,2
"421","AC006058.3","lncRNA",1,1,0,0,0,0
"422","AC006059.1","lncRNA",3,3,0,0,0,0
"423","AC006059.2","protein_coding",4,0,3,0,1,0
"424","AC006064.2","lncRNA",1,1,0,0,0,0
"425","AC006064.3","lncRNA",1,1,0,0,0,0
"426","AC006064.5","lncRNA",1,1,0,0,0,0
"427","AC006064.6","protein_coding",14,0,11,6,1,0
"428","AC006065.2","processed_pseudogene",1,1,0,0,0,0
"429","AC006077.2","TEC",1,1,0,0,0,0
"430","AC006111.2","lncRNA",1,1,0,0,0,0
"431","AC006111.3","lncRNA",1,1,0,0,0,0
"432","AC006115.2","lncRNA",7,7,0,0,0,0
"433","AC006116.1","miRNA",1,1,0,0,0,0
"434","AC006116.3","transcribed_processed_pseudogene",1,1,0,0,0,0
"435","AC006116.4","processed_pseudogene",1,1,0,0,0,0
"436","AC006116.6","lncRNA",1,1,0,0,0,0
"437","AC006116.7","lncRNA",1,1,0,0,0,0
"438","AC006116.8","transcribed_processed_pseudogene",1,1,0,0,0,0
"439","AC006116.9","lncRNA",1,1,0,0,0,0
"440","AC006141.1","lncRNA",1,1,0,0,0,0
"441","AC006157.1","lncRNA",1,1,0,0,0,0
"442","AC006195.1","processed_pseudogene",1,1,0,0,0,0
"443","AC006213.1","lncRNA",3,2,0,0,0,1
"444","AC006213.2","lncRNA",4,2,1,0,1,0
"445","AC006213.3","lncRNA",3,1,0,0,1,0
"446","AC006213.4","lncRNA",1,1,0,0,0,0
"447","AC006213.5","lncRNA",1,1,0,0,0,0
"448","AC006213.6","TEC",1,1,0,0,0,0
"449","AC006236.1","processed_pseudogene",1,1,0,0,0,0
"450","AC006249.1","lncRNA",1,1,0,0,0,0
"451","AC006252.1","lncRNA",1,1,0,0,0,0
"452","AC006270.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"453","AC006296.3","lncRNA",3,0,0,1,0,2
"454","AC006299.1","lncRNA",1,1,0,0,0,0
"455","AC006330.1","TEC",1,1,0,0,0,0
"456","AC006333.1","lncRNA",1,1,0,0,0,0
"457","AC006372.4","TEC",1,1,0,0,0,0
"458","AC006378.1","TEC",1,1,0,0,0,0
"459","AC006449.5","lncRNA",1,1,0,0,0,0
"460","AC006449.7","lncRNA",1,1,0,0,0,0
"461","AC006449.9","TEC",1,1,0,0,0,0
"462","AC006450.3","lncRNA",1,1,0,0,0,0
"463","AC006453.3","transcribed_unprocessed_pseudogene",1,0,0,0,0,0
"464","AC006460.2","lncRNA",1,1,0,0,0,0
"465","AC006480.3","lncRNA",1,1,0,0,0,0
"466","AC006483.1","miRNA",1,1,0,0,0,0
"467","AC006486.2","TEC",1,1,0,0,0,0
"468","AC006499.7","processed_pseudogene",1,1,0,0,0,0
"469","AC006504.1","lncRNA",1,1,0,0,0,0
"470","AC006504.5","lncRNA",14,14,0,0,0,0
"471","AC006504.7","lncRNA",1,1,0,0,0,0
"472","AC006511.2","unprocessed_pseudogene",1,1,0,0,0,0
"473","AC006511.3","processed_pseudogene",1,1,0,0,0,0
"474","AC006511.4","TEC",1,1,0,0,0,0
"475","AC006511.6","lncRNA",1,1,0,0,0,0
"476","AC006511.7","lncRNA",1,1,0,0,0,0
"477","AC006512.1","processed_pseudogene",1,1,0,0,0,0
"478","AC006518.2","transcribed_processed_pseudogene",1,1,0,0,0,0
"479","AC006529.1","processed_pseudogene",1,1,0,0,0,0
"480","AC006538.1","lncRNA",1,1,0,0,0,0
"481","AC006538.2","protein_coding",2,1,0,0,1,0
"482","AC006548.1","processed_pseudogene",1,1,0,0,0,0
"483","AC006557.4","unprocessed_pseudogene",1,1,0,0,0,0
"484","AC006566.1","lncRNA",1,1,0,0,0,0
"485","AC006600.2","TEC",1,1,0,0,0,0
"486","AC006927.2","processed_pseudogene",1,1,0,0,0,0
"487","AC006942.1","lncRNA",1,1,0,0,0,0
"488","AC006946.2","lncRNA",1,1,0,0,0,0
"489","AC006946.3","lncRNA",1,1,0,0,0,0
"490","AC006963.2","TEC",1,1,0,0,0,0
"491","AC006970.2","processed_pseudogene",1,1,0,0,0,0
