dx	feature	class	OR	Z	P	fdr
NDD.fuTADA	ExDp	SingleCellMarkers	3.6228435724486063	5.357689559056616	8.429291150670971e-8	6.7930169861289595e-6
NDD.fuTADA	DTU.down	DGE/DTE/DTU	1.6152639971229992	5.262756988224989	1.4191109834097543e-7	1.0801011373729797e-5
ASD.SFARI.1or2	DGE.up	DGE/DTE/DTU	1.6597350849839179	5.1662043598731735	2.388955872757091e-7	1.7225629187774813e-5
NDD.fuTADA	isoUsage.M3_brown	Networks.isoUsage	1.2063639095072047	4.986431734173082	6.150462408307878e-7	4.213066749690896e-5
NDD.fuTADA	ExM-U	SingleCellMarkers	3.1273607724002237	4.834675564516462	1.333629599429733e-6	8.700345481993973e-5
EPI.helbig	DTE.up	DGE/DTE/DTU	2.729752525941436	4.779508574717343	1.7572417819770298e-6	1.0841057777332986e-4
NDD.fuTADA	isoExpr.M1_turquoise	Networks.isoExpr	1.204370609328169	4.772444623368352	1.8200315976544427e-6	1.0841057777332986e-4
ASD.SFARI.1or2	DTE.up	DGE/DTE/DTU	1.5905891949559523	4.724494772376734	2.306881493542278e-6	1.316844852563717e-4
NDD.fuTADA	isoExpr.M19_lightyellow	Networks.isoExpr	1.1348565918706375	4.66619703641971	3.0682549189364035e-6	1.6814036955771491e-4
ASD.SFARI.1or2	n_exons_log2	txAnno	1.1958788469359827	4.5892438072217425	4.448546044892417e-6	2.3123209300825493e-4
DDD.kaplanis	isoExpr.M5_green	Networks.isoExpr	1.217215771329549	4.584206874738577	4.557128840308674e-6	2.3123209300825493e-4
SCZ.schema	isoExpr.M19_lightyellow	Networks.isoExpr	1.3856859475321142	4.54415150935891	5.51569760890575e-6	2.6987520443574566e-4
ASD.SFARI.S	n_transcripts_log2	txAnno	1.2867042303876026	4.4767883543665405	7.577430081040786e-6	3.579682486560647e-4
NDD.fuTADA	isoExpr.M7_black	Networks.isoExpr	1.1497582369948167	4.44482903878588	8.796178745219835e-6	4.0169216269837245e-4
NDD.fuTADA	isoExpr.M6_red	Networks.isoExpr	1.1661559838873143	4.3956982971029905	1.1041721047065415e-5	4.879728333703103e-4
NDD.fuTADA	isoExpr.M20_royalblue	Networks.isoExpr	1.1205513368021123	4.3215203675763485	1.5495774465574896e-5	6.433094247829578e-4
DDD.kaplanis	ExM-U	SingleCellMarkers	4.208040149900913	4.3233178664912355	1.537000327840612e-5	6.433094247829578e-4
EPI.helbig	DGE	DGE/DTE/DTU	2.4554751039526814	4.3018763177754575	1.693578427425795e-5	6.824124839921586e-4
DDD.kaplanis	DTE.up	DGE/DTE/DTU	1.9244985454142802	4.288349263711767	1.800058928196679e-5	7.045944947512715e-4
ASD.SFARI.1or2	geneExpr.M5_green	Networks.geneExpr	1.1236627476477383	4.262839585511615	2.018454219334902e-5	7.681339668024489e-4
ASD.fuTADA	DGE.up	DGE/DTE/DTU	1.9813419030802861	4.198310048836675	2.6891428441836056e-5	9.271883360150456e-4
NDD.fuTADA	isoExpr.M34_darkmagenta	Networks.isoExpr	1.116518491035371	4.202245416401471	2.642803905192203e-5	9.271883360150456e-4
NDD.fuTADA	geneExpr.M7_black	Networks.geneExpr	1.1222668568508307	4.213490270943381	2.514544234842539e-5	9.271883360150456e-4
ASD.SFARI.S	PgS	SingleCellMarkers	4.552035379876297	4.196800729335622	2.707119229241009e-5	9.271883360150456e-4
ASD.SFARI.1or2	isoExpr.M7_black	Networks.isoExpr	1.14678098913652	4.178578496980592	2.9333675474001303e-5	9.80174034131263e-4
NDD.fuTADA	DTU	DGE/DTE/DTU	1.4466394219822776	4.1683707335174125	3.0678466429340735e-5	0.0010007023573380192
NDD.fuTADA	isoUsage.M5_green	Networks.isoUsage	0.8040101701480538	-4.154260694515081	3.2634094821868036e-5	0.00103973743967347
ASD.fuTADA	DTE.up	DGE/DTE/DTU	1.9538269155045054	4.136000975133085	3.534106882976824e-5	0.0011003923703814201
ASD.SFARI.1or2	isoExpr.M1_turquoise	Networks.isoExpr	1.1733978899161697	4.110312724941497	3.951236283125314e-5	0.0012029319350848177
ASD.SFARI.1	DGE.up	DGE/DTE/DTU	2.027687869891906	4.080978112205103	4.484657855675064e-5	0.001325565987555195
EPI.epi25	geneExpr.M5_green	Networks.geneExpr	1.5290738632519911	4.077739780963764	4.547562147087165e-5	0.001325565987555195
NDD.fuTADA	isoUsage.M29_saddlebrown	Networks.isoUsage	1.1166113699630638	4.040686339830456	5.329499934446687e-5	0.0015211281062899918
ASD.SFARI.S	isoExpr.M27_white	Networks.isoExpr	1.1948657317587235	3.95272486201584	7.726626280599821e-5	0.00216030163355546
NDD.fuTADA	isoUsage.M1_turquoise	Networks.isoUsage	1.2765331630743222	3.9205801046616573	8.833606584639487e-5	0.0024204082041912192
NDD.fuTADA	DTU.up	DGE/DTE/DTU	1.439843373224161	3.872273818407055	1.0782472014300431e-4	0.0028964679724689394
NDD.fuTADA	novel_exon	txAnno	1.3914729642050194	3.8237866690872995	1.31417632989011e-4	0.003462349176825867
ASD.SFARI.S	vRG	SingleCellMarkers	4.257844594882405	3.812102466835227	1.3778972917008177e-4	0.003561734508736076
DDD.kaplanis	ExDp	SingleCellMarkers	3.8639124093307045	3.7897180943761297	1.5081834580895346e-4	0.003826317291819745
DDD.kaplanis	isoExpr.M7_black	Networks.isoExpr	1.1816942946133804	3.736846572555753	1.8634254759571745e-4	0.004641623458293326
NDD.fuTADA	ExM	SingleCellMarkers	3.5848945512498207	3.720583585456641	1.9876294214077374e-4	0.00486259340594393
NDD.fuTADA	isoExpr.M14_cyan	Networks.isoExpr	1.1409736154360832	3.7110528091557264	2.0639903551747163e-4	0.004960818923840985
NDD.fuTADA	isoExpr.M12_tan	Networks.isoExpr	1.1252181162716706	3.692983493130445	2.2163841471596718e-4	0.005235252209670259
ASD.SFARI.S	isoUsage.M27_white	Networks.isoUsage	1.1839482544894209	3.6647032926454752	2.476254852119499e-4	0.005749947707463922
ASD.SFARI.1	isoExpr.M5_green	Networks.isoExpr	1.194627112956322	3.629722683880468	2.837258733431889e-4	0.006478407441336147
NDD.fuTADA	geneExpr.M6_red	Networks.geneExpr	1.1045549507282793	3.610908573493947	3.051262172144972e-4	0.006852834714489528
ASD.fuTADA	isoExpr.M5_green	Networks.isoExpr	1.1856209219578093	3.5610608157175148	3.693595127331973e-4	0.008161653749104521
NDD.fuTADA	isoUsage.M4_yellow	Networks.isoUsage	0.8396215862221309	-3.5539099373704346	3.795491663363302e-4	0.00825368822032972
ASD.SFARI.S	PgG2M	SingleCellMarkers	3.558162342737043	3.546466329863299	3.904346315685585e-4	0.008357741332014456
ASD.fuTADA	ExM	SingleCellMarkers	5.611486288156279	3.541609227926716	3.976941634766929e-4	0.008382169291739527
SCZ.schema	isoExpr.M5_green	Networks.isoExpr	1.4645915165264292	3.521091763175239	4.2977386278104436e-4	0.008921063515303496
ASD.SFARI.S	isoExpr.M7_black	Networks.isoExpr	1.2366996421384235	3.5080679375937978	4.513737655069969e-4	0.0092295829663371
ASD.fuTADA	isoExpr.M6_red	Networks.isoExpr	1.211882943004666	3.4793374101204932	5.026552795714687e-4	0.010127025485484002
ASD.SFARI.S	n_exons_log2	txAnno	1.3696901392345389	3.411611818854814	6.45800077431097e-4	0.012822407334501492
ASD.SFARI.S	oRG	SingleCellMarkers	3.903946438674092	3.391802028469643	6.943458956251283e-4	0.013589341100091797
ASD.SFARI.1	isoExpr.M7_black	Networks.isoExpr	1.187437679087432	3.3467214068093725	8.177334775606595e-4	0.015778800905043713
EPI.helbig	isoExpr.M1_turquoise	Networks.isoExpr	1.339304605509276	3.3403166487414055	8.368291692224066e-4	0.015922999469926348
NDD.fuTADA	isoExpr.M45_darkorange2	Networks.isoExpr	1.0895076082382977	3.311574114763106	9.277266189788663e-4	0.017410759835630778
ASD.fuTADA	geneExpr.M13_salmon	Networks.geneExpr	1.1286089146013085	3.294549481699978	9.85795869961645e-4	0.018250545160100724
DDD.kaplanis	geneExpr.M13_salmon	Networks.geneExpr	1.1184089547929041	3.238062438376391	0.0012034446828341112	0.02169367388793069
NDD.fuTADA	isoUsage.M12_tan	Networks.isoUsage	1.1030484103499711	3.2383623176469793	0.0012021803065524236	0.02169367388793069
NDD.fuTADA	isoExpr.M24_darkgrey	Networks.isoExpr	1.0973723677303677	3.1995519407380493	0.0013764138336847841	0.02448944093698902
DDD.kaplanis	ExM	SingleCellMarkers	4.700575378884331	3.179820923769248	0.0014736609014293519	0.025883531217412978
ASD.fuTADA	geneExpr.M6_red	Networks.geneExpr	1.1323319795304212	3.1629247768037136	0.0015619268491757694	0.027086579536339292
NDD.fuTADA	isoExpr.M40_mediumpurple3	Networks.isoExpr	1.088508354456855	3.1591942439045737	0.0015820600778617476	0.027092778833382427
NDD.fuTADA	isoUsage.M7_black	Networks.isoUsage	0.8572399794385733	-3.152465670258249	0.001618978573031745	0.027382724013006055
NDD.fuTADA	isoExpr.M30_steelblue	Networks.isoExpr	1.086382637885927	3.1438572587980067	0.0016673674967610664	0.02785723744588611
ASD.fuTADA	isoExpr.M7_black	Networks.isoExpr	1.168398339198418	3.1202755380316116	0.001806819425988403	0.029823404983182072
ASD.SFARI.S	isoExpr.M19_lightyellow	Networks.isoExpr	1.1704971015390817	3.093863200473384	0.00197568561969233	0.03222249165450586
NDD.fuTADA	isoUsage.M8_pink	Networks.isoUsage	1.1054893929573912	3.088772347658383	0.002009853831736802	0.03239411469975787
BIP.bipex	geneExpr.M7_black	Networks.geneExpr	1.3108427798879636	3.070725458243844	0.0021353939971474217	0.034017322977813576
ASD.fuTADA	isoExpr.M1_turquoise	Networks.isoExpr	1.2169628971678288	3.0586220239932462	0.002223575023177613	0.03501491703164747
NDD.fuTADA	isoExpr.M23_darkturquoise	Networks.isoExpr	1.0903165683217895	3.0479462291304342	0.0023041115222399693	0.03546778410639054
NDD.fuTADA	ExN-1	SingleCellMarkers	3.771214468289445	3.048651225172049	0.0022987118489916558	0.03546778410639054
DDD.kaplanis	isoExpr.M51_thistle1	Networks.isoExpr	1.1262360812314898	3.026487959138978	0.0024741267476182335	0.037661707158188666
DDD.kaplanis	isoExpr.M34_darkmagenta	Networks.isoExpr	1.1152385906250968	3.008545863926944	0.0026250117731297117	0.039423629729639476
ASD.fuTADA	isoExpr.M30_steelblue	Networks.isoExpr	1.114170426128392	3.0059613766290916	0.002647426230019585	0.039423629729639476
DDD.kaplanis	isoExpr.M20_royalblue	Networks.isoExpr	1.1158365623287243	2.9986752592761623	0.002711561523759926	0.03994450846829138
DDD.kaplanis	isoUsage.M11_greenyellow	Networks.isoUsage	1.157842566307044	2.988147886138276	0.0028067370749894406	0.04047610308142667
NDD.fuTADA	isoExpr.M27_white	Networks.isoExpr	1.0898286836729119	2.9911898388039737	0.002778926769117646	0.04047610308142667
NDD.fuTADA	SingleCellDTU	SingleCellMarkers	1.6740025610778224	2.9757960694449	0.002922291174049272	0.04170353029632815
ASD.SFARI.1	DTE.up	DGE/DTE/DTU	1.6893266901792208	2.959648661992667	0.003079900638851278	0.04349962757965207
EPI.helbig	geneExpr.M6_red	Networks.geneExpr	1.162514453286664	2.9521330807891086	0.003155868857220731	0.044117758514208176
ASD.fuTADA	isoExpr.M24_darkgrey	Networks.isoExpr	1.130753551994222	2.8938064409148487	0.0038060270144287573	0.05214257009767397
SCZ.schema	isoExpr.M13_salmon	Networks.isoExpr	1.291763090521721	2.895905277531637	0.0037806649823076146	0.05214257009767397
ASD.SFARI.1or2	isoExpr.M5_green	Networks.isoExpr	1.0974871176816487	2.850366020749429	0.0043668943827422715	0.05923411192432586
SCZ.schema	isoExpr.M25_orange	Networks.isoExpr	1.2674591224536484	2.8318937127046437	0.004627322728514589	0.06215129547122536
EPI.helbig	DTE	DGE/DTE/DTU	1.8119510327786674	2.825466092083795	0.004721188463501195	0.0627963902426858
NDD.fuTADA	isoUsage.M2_blue	Networks.isoUsage	1.1675087205576413	2.817276852028785	0.004843275717712137	0.06380084358909258
BIP.bipex	isoExpr.M19_lightyellow	Networks.isoExpr	1.3017672214964433	2.8016573629545083	0.005084083905525461	0.06633519000542744
ASD.SFARI.1or2	n_transcripts_log2|tpm	txAnno	1.1309550705186866	2.7936413985046484	0.005211823820757643	0.06673082835923337
ASD.SFARI.1	isoExpr.M23_darkturquoise	Networks.isoExpr	1.1238675617126364	2.7956239407431123	0.005179963571037536	0.06673082835923337
NDD.fuTADA	DTE	DGE/DTE/DTU	1.2845481590766874	2.7888189238013585	0.005290063335285705	0.06710543304945756
NDD.fuTADA	isoExpr.M31_paleturquoise	Networks.isoExpr	1.080145225373368	2.780888826800352	0.005421029805980289	0.06813587921277979
ASD.SFARI.1or2	isoExpr.M29_saddlebrown	Networks.isoExpr	1.082641352725676	2.7704821143164446	0.005597337422935475	0.06971229335837818
SCZ.schema	isoExpr.M34_darkmagenta	Networks.isoExpr	1.2235160424866969	2.763776544930554	0.005713665269433735	0.07052001278490284
ASD.SFARI.1or2	isoExpr.M24_darkgrey	Networks.isoExpr	1.0881702096152253	2.7548096999425247	0.005872628146969174	0.07183482644060508
DDD.kaplanis	isoUsage.M27_white	Networks.isoUsage	1.1128218117609905	2.751240495111037	0.005937003874440672	0.07197960449543116
NDD.fuTADA	ExN-3	SingleCellMarkers	4.672541582583211	2.738903446712836	0.0061644474320555484	0.07408151738522896
DDD.kaplanis	isoExpr.M40_mediumpurple3	Networks.isoExpr	1.102000169007027	2.712227604341306	0.006683268562914185	0.07883359092253388
ASD.fuTADA	isoExpr.M27_white	Networks.isoExpr	1.1203607350639568	2.709793855856863	0.006732503750318588	0.07883359092253388
ASD.fuTADA	isoUsage.M2_blue	Networks.isoUsage	1.2981605338848736	2.7145547037380777	0.006636493875820542	0.07883359092253388
ASD.fuTADA	novel_exon	txAnno	1.4795692046287052	2.694835042976374	0.007042348576546193	0.08107577772998559
ASD.SFARI.1or2	isoExpr.M34_darkmagenta	Networks.isoExpr	1.0786049099704962	2.6953899200070595	0.007030630418521977	0.08107577772998559
ASD.SFARI.S	isoExpr.M50_thistle2	Networks.isoExpr	1.150026867753487	2.6911574284256954	0.007120458523383244	0.08129190147529204
DDD.kaplanis	isoUsage.M2_blue	Networks.isoUsage	1.262608355413827	2.6831348500041092	0.00729355745516903	0.08257994804612868
DDD.kaplanis	isoExpr.M31_paleturquoise	Networks.isoExpr	1.102094870486254	2.6730089296033723	0.007517424938360833	0.08359562289329485
DDD.kaplanis	isoUsage.M3_brown	Networks.isoUsage	1.1675434285423796	2.6708333931569173	0.007566319152385811	0.08359562289329485
NDD.fuTADA	isoUsage.M6_red	Networks.isoUsage	0.8859525604416649	-2.673424163097812	0.00750812501333041	0.08359562289329485
SCZ.schema	n_transcripts_log2	txAnno	1.4009862072961592	2.668079177488223	0.0076286277949597185	0.08360976063275852
EPI.helbig	ExM-U	SingleCellMarkers	3.589571296329158	2.6564311793382958	0.007897256824421528	0.0858669988052182
ASD.SFARI.1or2	geneExpr.M8_pink	Networks.geneExpr	1.0759622568829965	2.653235158991467	0.00797243066581543	0.08600181111942629
DDD.kaplanis	isoExpr.M19_lightyellow	Networks.isoExpr	1.1109101095559428	2.6490447757744526	0.008071963637538412	0.08639523580802833
DDD.kaplanis	isoExpr.M14_cyan	Networks.isoExpr	1.155454479813451	2.6399080301695608	0.00829285285803384	0.08757888612689022
NDD.fuTADA	isoExpr.M10_purple	Networks.isoExpr	1.088596999099389	2.6391913763227954	0.00831040525291659	0.08757888612689022
ASD.SFARI.1or2	isoExpr.M45_darkorange2	Networks.isoExpr	1.0732575700750089	2.629203134346061	0.008558522057770886	0.08882708499353116
NDD.fuTADA	isoExpr.M3_brown	Networks.isoExpr	1.131922624150967	2.6311318981372587	0.008510100092587502	0.08882708499353116
ASD.fuTADA	geneExpr.M7_black	Networks.geneExpr	1.1148472726489524	2.6216250629262174	0.008751164756086295	0.08953772949696098
DDD.kaplanis	ExN-3	SingleCellMarkers	7.422618676710065	2.6213704154546384	0.008757704928899834	0.08953772949696098
ASD.SFARI.S	isoUsage.M20_royalblue	Networks.isoUsage	1.1636053376159665	2.617014136983765	0.008870266751090554	0.09001678110365971
NDD.fuTADA	isoUsage.M10_purple	Networks.isoUsage	1.0892265593811368	2.6050328283135866	0.009186545750316829	0.09254093880833865
ASD.fuTADA	isoExpr.M45_darkorange2	Networks.isoExpr	1.1015888579813624	2.5967577429857363	0.009410827139066538	0.09342632739508085
NDD.fuTADA	In	SingleCellMarkers	6.14370892133278	2.5973375833447196	0.009394953921360692	0.09342632739508085
DDD.kaplanis	novel_exon	txAnno	1.4254419489916903	2.5839661808163363	0.009767137109550548	0.0962660276265054
NDD.fuTADA	vRG	SingleCellMarkers	1.8753418457689008	2.5798993322158164	0.009882912016836177	0.09671135330761117
ASD.fuTADA	ExDp	SingleCellMarkers	2.9124762582527546	2.5767911469004865	0.00997221841815469	0.09689318604873706
ASD.fuTADA	DTU.up	DGE/DTE/DTU	1.4925071720442122	2.56954649050698	0.010183172709709377	0.09824610290353414
NDD.fuTADA	geneExpr.M13_salmon	Networks.geneExpr	1.0740731182730245	2.5448004368851955	0.010934020695311027	0.10475250596207067
ASD.SFARI.1	geneExpr.M5_green	Networks.geneExpr	1.1221493105857097	2.500333972134761	0.012407627610192725	0.11804479045808357
NDD.fuTADA	isoExpr.M17_grey60	Networks.isoExpr	1.0888530102273957	2.493583944751905	0.01264606777697929	0.11948353692732158
ASD.SFARI.S	DGE.up	DGE/DTE/DTU	1.7022002706974215	2.484463319238943	0.012974687426546215	0.12026563900794238
ASD.SFARI.1	geneExpr.M13_salmon	Networks.geneExpr	1.1032241200415098	2.483983016470533	0.012992200418376258	0.12026563900794238
NDD.fuTADA	isoExpr.M18_lightgreen	Networks.isoExpr	1.0823590943967625	2.487741335250591	0.012855719703670023	0.12026563900794238
ASD.fuTADA	n_transcripts_log2|tpm	txAnno	1.2128439790672936	2.4716123687771048	0.013450527251638264	0.12284814889829614
ASD.fuTADA	geneExpr.M5_green	Networks.geneExpr	1.1176661597877973	2.4739751302693125	0.013361899794372401	0.12284814889829614
ASD.fuTADA	isoExpr.M39_orangered4	Networks.isoExpr	1.0971495892456065	2.4549455771524107	0.014090591874807792	0.12784179383103758
DDD.kaplanis	isoExpr.M33_darkolivegreen	Networks.isoExpr	1.1012468958934616	2.4481102809993454	0.014360769302819707	0.12943588121620395
DDD.kaplanis	isoUsage.M23_darkturquoise	Networks.isoUsage	1.1114317540337948	2.4434564661912064	0.014547324570917454	0.13026035726899943
NDD.fuTADA	isoUsage.M27_white	Networks.isoUsage	1.0753830568266478	2.4386434409615494	0.014742506502666581	0.13030473489453687
SCZ.schema	geneExpr.M13_salmon	Networks.geneExpr	1.2055848495673869	2.440180880671984	0.01467990952004816	0.13030473489453687
ASD.SFARI.1	isoExpr.M34_darkmagenta	Networks.isoExpr	1.1060180472299674	2.4275130505336353	0.01520273987430986	0.13330600513216345
NDD.fuTADA	geneExpr.M10_purple	Networks.geneExpr	1.0961622201882064	2.4257527616975443	0.01527667358083917	0.13330600513216345
ASD.SFARI.1or2	novel_exon	txAnno	1.2248043651605867	2.4072402851066608	0.016073590332429402	0.13937227060397647
SCZ.schema	PgS	SingleCellMarkers	6.295573040742095	2.403789139068648	0.016226129614083568	0.13981004761820431
ASD.SFARI.1	isoExpr.M2_blue	Networks.isoExpr	0.8127489907902335	-2.4003779639911467	0.01637815087327884	0.14023791685245007
NDD.fuTADA	DTU.not.DGE	DGE/DTE/DTU	1.2757264182742274	2.387080335300901	0.016982779772056113	0.14361980424516588
ASD.SFARI.1or2	isoUsage.M29_saddlebrown	Networks.isoUsage	1.0766282556532707	2.3873319402016815	0.016971160186425326	0.14361980424516588
ASD.SFARI.1or2	ExM-U	SingleCellMarkers	2.002300643423646	2.3831146849816767	0.017166845293459375	0.1442857549204868
ASD.fuTADA	ExM-U	SingleCellMarkers	2.70196310226805	2.3805938662439634	0.017284756754566085	0.14439095581558253
DDD.kaplanis	ExN-1	SingleCellMarkers	4.5557602393622485	2.3749445251211436	0.01755158785186862	0.1457313658003637
SCZ.schema	isoUsage.M23_darkturquoise	Networks.isoUsage	1.252591173554869	2.3714583089098205	0.01771804547430276	0.14622724276984805
DDD.kaplanis	geneExpr.M5_green	Networks.geneExpr	1.1080787676021882	2.367820229046494	0.01789322781378668	0.14678875511908834
ASD.SFARI.1	novel_exon	txAnno	1.446281959893461	2.3626864640223513	0.018143011824642976	0.1479519416652433
NDD.fuTADA	isoUsage.M11_greenyellow	Networks.isoUsage	1.0884558002637814	2.3554765958108477	0.01849896231689528	0.14937175648824833
NDD.fuTADA	geneExpr.M23_darkturquoise	Networks.geneExpr	1.068134519092608	2.354749790837109	0.018535181462045414	0.14937175648824833
DDD.kaplanis	isoExpr.M47_bisque4	Networks.isoExpr	1.1214703924389984	2.341223344124941	0.019220665117394328	0.15352640743039872
ASD.fuTADA	isoExpr.M35_sienna3	Networks.isoExpr	1.0984504623813591	2.3401722430350778	0.01927484823213765	0.15352640743039872
DDD.kaplanis	DGE	DGE/DTE/DTU	1.3788115594497141	2.333485514029662	0.019622677743438628	0.1553934595867683
ASD.SFARI.S	ExDp	SingleCellMarkers	2.976713087191029	2.3261861849743815	0.020008620341094033	0.15753913716838405
DDD.kaplanis	isoUsage.M12_tan	Networks.isoUsage	1.1076221936931634	2.3118931345606417	0.02078357316382076	0.16270568705391109
EPI.helbig	n_transcripts_log2	txAnno	1.1445698172342729	2.305667444159003	0.021129221556313648	0.16447178143266875
BIP.bipex	isoExpr.M35_sienna3	Networks.isoExpr	1.2211476844824407	2.300914786494469	0.02139644815082868	0.16561092636517116
NDD.fuTADA	PgG2M	SingleCellMarkers	1.665380238927812	2.2938359045994696	0.021799926201950502	0.16778594885770892
NDD.fuTADA	isoExpr.M9_magenta	Networks.isoExpr	1.078665734160693	2.281028572440122	0.022546756185921203	0.1725645585179444
EPI.helbig	isoExpr.M20_royalblue	Networks.isoExpr	1.1254788596490295	2.276388128146235	0.022822789601634072	0.17274708151513082
BIP.bipex	isoUsage.M16_lightcyan	Networks.isoUsage	1.2960767877381456	2.277730421016647	0.0227426440786472	0.17274708151513082
ASD.SFARI.1or2	isoExpr.M2_blue	Networks.isoExpr	0.9052177328134277	-2.26230654149982	0.023678470549613004	0.17534867379983685
DDD.kaplanis	isoExpr.M3_brown	Networks.isoExpr	1.1777712056089542	2.262848762614002	0.023645013792919074	0.17534867379983685
ASD.fuTADA	isoExpr.M37_skyblue3	Networks.isoExpr	1.0935810157472718	2.2650448475285603	0.023509927554447904	0.17534867379983685
DDD.kaplanis	PgS	SingleCellMarkers	2.255967358012703	2.266246139379444	0.02343631710852257	0.17534867379983685
SCZ.schema	isoUsage.M27_white	Networks.isoUsage	1.2102549622446372	2.2578329954173744	0.023956073282634213	0.1764506472968219
NDD.fuTADA	isoExpr.M43_ivory	Networks.isoExpr	1.0671802367825047	2.2538557883277246	0.0242052418133668	0.17733252023696533
ASD.SFARI.1or2	geneExpr.M6_red	Networks.geneExpr	1.0652197549290447	2.2376407795913242	0.025244489989101813	0.183962506835476
DDD.kaplanis	geneExpr.M7_black	Networks.geneExpr	1.0940392602053615	2.2355642096121646	0.02538033121812249	0.18397382946469742
EPI.helbig	isoUsage.M8_pink	Networks.isoUsage	1.1613702288908643	2.227912214027647	0.025886369533962058	0.18665434874488432
ASD.SFARI.S	isoUsage.M11_greenyellow	Networks.isoUsage	1.1668927261099569	2.2254148286843765	0.026053402978345717	0.18687519413787243
ASD.SFARI.S	ExM-U	SingleCellMarkers	2.8178644675672526	2.217592377649452	0.026582638083756684	0.1896781988268055
ASD.SFARI.1or2	DGE	DGE/DTE/DTU	1.2239228024300737	2.2061670733636767	0.027372303796021652	0.19430080932927288
BIP.bipex	geneExpr.M2_blue	Networks.geneExpr	1.3187486286977395	2.198841925984647	0.02788916417361648	0.19694925215388956
SCZ.schema	geneExpr.M7_black	Networks.geneExpr	1.2101481651557255	2.195053449729204	0.02815976385491069	0.19784039221142383
NDD.fuTADA	DGE	DGE/DTE/DTU	1.219490772675575	2.1889648334469722	0.02859939611703037	0.19990394224658983
ASD.SFARI.1	isoExpr.M30_steelblue	Networks.isoExpr	1.0896522418780585	2.1861639430725206	0.028803613196846038	0.20030939126740646
ASD.SFARI.1or2	geneExpr.M16_lightcyan	Networks.geneExpr	0.8859156356513107	-2.179608906084188	0.02928646407043518	0.20162038078641306
DDD.kaplanis	PgG2M	SingleCellMarkers	2.093866676617569	2.18073790350888	0.029202807824486865	0.20162038078641306
NDD.fuTADA	oRG	SingleCellMarkers	1.7640848279434362	2.1595806633788395	0.03080514667757294	0.21101525474137464
NDD.fuTADA	DTE.not.DGE	DGE/DTE/DTU	1.3388735964659801	2.1520681464549014	0.03139198750725228	0.2129060538858199
NDD.fuTADA	ExN-2	SingleCellMarkers	4.137691636434219	2.1525037100528137	0.031357703391906175	0.2129060538858199
ASD.fuTADA	isoUsage.M10_purple	Networks.isoUsage	1.1156159529147962	2.1464472535246317	0.03183731274925164	0.21486265254421058
EPI.helbig	isoExpr.M53_palevioletred3	Networks.isoExpr	1.1112052058742028	2.143338128539807	0.032085957302538874	0.21547922306116793
DDD.kaplanis	isoExpr.M2_blue	Networks.isoExpr	0.8571413680930561	-2.1406919644071842	0.032298886954315785	0.2158510981825006
ASD.SFARI.S	isoUsage.M10_purple	Networks.isoUsage	1.1477077068355857	2.1368384646249923	0.03261113240710171	0.21605482041051757
DDD.kaplanis	isoExpr.M30_steelblue	Networks.isoExpr	1.0823815879896461	2.1364251067561852	0.03264477943428988	0.21605482041051757
