"MGI.symbol","ENSMUSG","HGNC.symbol","ENSG","dataset","RBP","msORhs","data.type","dataset.id","regulation"
"Ache","ENSMUSG00000023328","ACHE","ENSG00000087085","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acin1","ENSMUSG00000022185","ACIN1","ENSG00000100813","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acly","ENSMUSG00000020917","ACLY","ENSG00000131473","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aco2","ENSMUSG00000022477","ACO2","ENSG00000100412","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acot7","ENSMUSG00000028937","ACOT7","ENSG00000097021","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acsf3","ENSMUSG00000015016","ACSF3","ENSG00000176715","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acsl3","ENSMUSG00000032883","ACSL3","ENSG00000123983","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actb","ENSMUSG00000029580","ACTB","ENSG00000075624","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actg1","ENSMUSG00000062825","ACTG1","ENSG00000184009","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actl6a","ENSMUSG00000027671","ACTL6A","ENSG00000136518","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actn1","ENSMUSG00000015143","ACTN1","ENSG00000072110","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actn4","ENSMUSG00000054808","ACTN4","ENSG00000130402","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actr1b","ENSMUSG00000037351","ACTR1B","ENSG00000115073","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actr2","ENSMUSG00000020152","ACTR2","ENSG00000138071","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Actr3b","ENSMUSG00000056367","ACTR3B","ENSG00000133627","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Acvr2a","ENSMUSG00000052155","ACVR2A","ENSG00000121989","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adam10","ENSMUSG00000054693","ADAM10","ENSG00000137845","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adam15","ENSMUSG00000028041","ADAM15","ENSG00000143537","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adam9","ENSMUSG00000031555","ADAM9","ENSG00000168615","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adamtsl1","ENSMUSG00000066113","ADAMTSL1","ENSG00000178031","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adar","ENSMUSG00000027951","ADAR","ENSG00000160710","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adarb1","ENSMUSG00000020262","ADARB1","ENSG00000197381","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adat1","ENSMUSG00000031949","ADAT1","ENSG00000065457","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adat2","ENSMUSG00000019808","ADAT2","ENSG00000189007","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adcy6","ENSMUSG00000022994","ADCY6","ENSG00000174233","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adgrl1","ENSMUSG00000013033","ADGRL1","ENSG00000072071","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adgrl2","ENSMUSG00000028184","ADGRL2","ENSG00000117114","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adh5","ENSMUSG00000028138","ADH5","ENSG00000197894","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adipor1","ENSMUSG00000026457","ADIPOR1","ENSG00000159346","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ado","ENSMUSG00000057134","ADO","ENSG00000181915","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Adss","ENSMUSG00000015961","ADSS2","ENSG00000035687","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aebp2","ENSMUSG00000030232","AEBP2","ENSG00000139154","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aff4","ENSMUSG00000049470","AFF4","ENSG00000072364","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aftph","ENSMUSG00000049659","AFTPH","ENSG00000119844","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agap1","ENSMUSG00000055013","AGAP1","ENSG00000157985","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agap3","ENSMUSG00000023353","AGAP3","ENSG00000133612","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agfg1","ENSMUSG00000026159","AGFG1","ENSG00000173744","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agk","ENSMUSG00000029916","AGK","ENSG00000006530","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ago2","ENSMUSG00000036698","AGO2","ENSG00000123908","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ago3","ENSMUSG00000028842","AGO3","ENSG00000126070","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agpat2","ENSMUSG00000026922","AGPAT2","ENSG00000169692","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agpat3","ENSMUSG00000001211","AGPAT3","ENSG00000160216","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agpat5","ENSMUSG00000031467","AGPAT5","ENSG00000155189","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Agrp","ENSMUSG00000005705","AGRP","ENSG00000159723","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ahctf1","ENSMUSG00000026491","AHCTF1","ENSG00000153207","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ahcyl1","ENSMUSG00000027893","AHCYL1","ENSG00000168710","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ahdc1","ENSMUSG00000037692","AHDC1","ENSG00000126705","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ahnak","ENSMUSG00000069833","AHNAK","ENSG00000124942","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ahsa1","ENSMUSG00000021037","AHSA1","ENSG00000100591","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aig1","ENSMUSG00000019806","AIG1","ENSG00000146416","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aimp2","ENSMUSG00000029610","AIMP2","ENSG00000106305","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akap1","ENSMUSG00000018428","AKAP1","ENSG00000121057","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akap13","ENSMUSG00000066406","AKAP13","ENSG00000170776","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akap6","ENSMUSG00000061603","AKAP6","ENSG00000151320","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akap8","ENSMUSG00000024045","AKAP8","ENSG00000105127","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akap9","ENSMUSG00000040407","AKAP9","ENSG00000127914","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akr1e1","ENSMUSG00000045410","AKR1E2","ENSG00000165568","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akt2","ENSMUSG00000004056","AKT2","ENSG00000105221","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Akt3","ENSMUSG00000019699","AKT3","ENSG00000117020","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aldh18a1","ENSMUSG00000025007","ALDH18A1","ENSG00000059573","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aldh1l1","ENSMUSG00000030088","ALDH1L1","ENSG00000144908","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aldh6a1","ENSMUSG00000021238","ALDH6A1","ENSG00000119711","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alg12","ENSMUSG00000035845","ALG12","ENSG00000182858","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alg14","ENSMUSG00000039887","ALG14","ENSG00000172339","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alg2","ENSMUSG00000039740","ALG2","ENSG00000119523","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alg5","ENSMUSG00000036632","ALG5","ENSG00000120697","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alk","ENSMUSG00000055471","ALK","ENSG00000171094","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alkbh1","ENSMUSG00000079036","ALKBH1","ENSG00000100601","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alkbh3","ENSMUSG00000040174","ALKBH3","ENSG00000166199","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alkbh5","ENSMUSG00000042650","ALKBH5","ENSG00000091542","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Alms1","ENSMUSG00000063810","ALMS1","ENSG00000116127","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Als2","ENSMUSG00000026024","ALS2","ENSG00000003393","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ambra1","ENSMUSG00000040506","AMBRA1","ENSG00000110497","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Amfr","ENSMUSG00000031751","AMFR","ENSG00000159461","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ampd2","ENSMUSG00000027889","AMPD2","ENSG00000116337","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Anapc5","ENSMUSG00000029472","ANAPC5","ENSG00000089053","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Anapc7","ENSMUSG00000029466","ANAPC7","ENSG00000196510","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Angptl6","ENSMUSG00000038742","ANGPTL6","ENSG00000130812","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ank","ENSMUSG00000022265","ANKH","ENSG00000154122","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ank2","ENSMUSG00000032826","ANK2","ENSG00000145362","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ank3","ENSMUSG00000069601","ANK3","ENSG00000151150","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankib1","ENSMUSG00000040351","ANKIB1","ENSG00000001629","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd10","ENSMUSG00000031508","ANKRD10","ENSG00000088448","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd11","ENSMUSG00000035569","ANKRD11","ENSG00000167522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd12","ENSMUSG00000034647","ANKRD12","ENSG00000101745","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd13c","ENSMUSG00000039988","ANKRD13C","ENSG00000118454","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd16","ENSMUSG00000047909","ANKRD16","ENSG00000134461","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd17","ENSMUSG00000055204","ANKRD17","ENSG00000132466","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd28","ENSMUSG00000014496","ANKRD28","ENSG00000206560","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd46","ENSMUSG00000048307","ANKRD46","ENSG00000186106","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd50","ENSMUSG00000044864","ANKRD50","ENSG00000151458","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ankrd52","ENSMUSG00000014498","ANKRD52","ENSG00000139645","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Anks1","ENSMUSG00000024219","ANKS1A","ENSG00000064999","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ano10","ENSMUSG00000037949","ANO10","ENSG00000160746","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ano6","ENSMUSG00000064210","ANO6","ENSG00000177119","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Anp32e","ENSMUSG00000015749","ANP32E","ENSG00000143401","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Anxa6","ENSMUSG00000018340","ANXA6","ENSG00000197043","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap1b1","ENSMUSG00000009090","AP1B1","ENSG00000100280","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap1g1","ENSMUSG00000031731","AP1G1","ENSG00000166747","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap1s1","ENSMUSG00000004849","AP1S1","ENSG00000106367","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap2a2","ENSMUSG00000002957","AP2A2","ENSG00000183020","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap3b1","ENSMUSG00000021686","AP3B1","ENSG00000132842","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap3d1","ENSMUSG00000020198","AP3D1","ENSG00000065000","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap3s1","ENSMUSG00000024480","AP3S1","ENSG00000177879","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ap3s2","ENSMUSG00000063801","AP3S2","ENSG00000157823","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Apbb2","ENSMUSG00000029207","APBB2","ENSG00000163697","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Apc2","ENSMUSG00000020135","APC2","ENSG00000115266","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Apeh","ENSMUSG00000032590","APEH","ENSG00000164062","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"App","ENSMUSG00000022892","APP","ENSG00000142192","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aqp11","ENSMUSG00000042797","AQP11","ENSG00000178301","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Araf","ENSMUSG00000001127","ARAF","ENSG00000078061","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arfgap1","ENSMUSG00000027575","ARFGAP1","ENSG00000101199","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arfgef1","ENSMUSG00000067851","ARFGEF1","ENSG00000066777","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arglu1","ENSMUSG00000040459","ARGLU1","ENSG00000134884","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap1","ENSMUSG00000027247","ARHGAP1","ENSG00000175220","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap12","ENSMUSG00000041225","ARHGAP12","ENSG00000165322","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap17","ENSMUSG00000030766","ARHGAP17","ENSG00000140750","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap18","ENSMUSG00000039031","ARHGAP18","ENSG00000146376","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap21","ENSMUSG00000036591","ARHGAP21","ENSG00000107863","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap22","ENSMUSG00000063506","ARHGAP22","ENSG00000128805","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap23","ENSMUSG00000049807","ARHGAP23","ENSG00000275832","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap39","ENSMUSG00000033697","ARHGAP39","ENSG00000147799","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgap5","ENSMUSG00000035133","ARHGAP5","ENSG00000100852","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgdia","ENSMUSG00000025132","ARHGDIA","ENSG00000141522","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef10","ENSMUSG00000071176","ARHGEF10","ENSG00000104728","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef10l","ENSMUSG00000040964","ARHGEF10L","ENSG00000074964","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef11","ENSMUSG00000041977","ARHGEF11","ENSG00000132694","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef2","ENSMUSG00000028059","ARHGEF2","ENSG00000116584","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef28","ENSMUSG00000021662","ARHGEF28","ENSG00000214944","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef3","ENSMUSG00000021895","ARHGEF3","ENSG00000163947","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arhgef7","ENSMUSG00000031511","ARHGEF7","ENSG00000102606","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arid1a","ENSMUSG00000007880","ARID1A","ENSG00000117713","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arid1b","ENSMUSG00000069729","ARID1B","ENSG00000049618","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arid2","ENSMUSG00000033237","ARID2","ENSG00000189079","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arid4b","ENSMUSG00000039219","ARID4B","ENSG00000054267","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arid5b","ENSMUSG00000019947","ARID5B","ENSG00000150347","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arl14ep","ENSMUSG00000027122","ARL14EP","ENSG00000152219","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arl15","ENSMUSG00000042348","ARL15","ENSG00000185305","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arl8b","ENSMUSG00000030105","ARL8B","ENSG00000134108","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Armc10","ENSMUSG00000038525","ARMC10","ENSG00000170632","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Armc8","ENSMUSG00000032468","ARMC8","ENSG00000114098","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arnt","ENSMUSG00000015522","ARNT","ENSG00000143437","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arpc2","ENSMUSG00000006304","ARPC2","ENSG00000163466","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arrb1","ENSMUSG00000018909","ARRB1","ENSG00000137486","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arrdc2","ENSMUSG00000002910","ARRDC2","ENSG00000105643","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arsb","ENSMUSG00000042082","ARSB","ENSG00000113273","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arsg","ENSMUSG00000020604","ARSG","ENSG00000141337","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Arvcf","ENSMUSG00000000325","ARVCF","ENSG00000099889","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asap1","ENSMUSG00000022377","ASAP1","ENSG00000153317","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asap2","ENSMUSG00000052632","ASAP2","ENSG00000151693","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ascc2","ENSMUSG00000020412","ASCC2","ENSG00000100325","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ascc3","ENSMUSG00000038774","ASCC3","ENSG00000112249","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ash1l","ENSMUSG00000028053","ASH1L","ENSG00000116539","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ash2l","ENSMUSG00000031575","ASH2L","ENSG00000129691","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asna1","ENSMUSG00000052456","GET3","ENSG00000198356","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asns","ENSMUSG00000029752","ASNS","ENSG00000070669","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Aspdh","ENSMUSG00000038704","ASPDH","ENSG00000204653","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asrgl1","ENSMUSG00000024654","ASRGL1","ENSG00000162174","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Astn1","ENSMUSG00000026587","ASTN1","ENSG00000152092","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asxl1","ENSMUSG00000042548","ASXL1","ENSG00000171456","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asxl2","ENSMUSG00000037486","ASXL2","ENSG00000143970","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Asz1","ENSMUSG00000010796","ASZ1","ENSG00000154438","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atad2b","ENSMUSG00000052812","ATAD2B","ENSG00000119778","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Ate1","ENSMUSG00000030850","ATE1","ENSG00000107669","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atf1","ENSMUSG00000023027","ATF1","ENSG00000123268","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atf2","ENSMUSG00000027104","ATF2","ENSG00000115966","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atf4","ENSMUSG00000042406","ATF4","ENSG00000128272","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg10","ENSMUSG00000021619","ATG10","ENSG00000152348","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg101","ENSMUSG00000037204","ATG101","ENSG00000123395","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg16l1","ENSMUSG00000026289","ATG16L1","ENSG00000085978","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg4c","ENSMUSG00000028550","ATG4C","ENSG00000125703","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg5","ENSMUSG00000038160","ATG5","ENSG00000057663","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atg7","ENSMUSG00000030314","ATG7","ENSG00000197548","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atm","ENSMUSG00000034218","ATM","ENSG00000149311","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp13a3","ENSMUSG00000022533","ATP13A3","ENSG00000133657","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp1a1","ENSMUSG00000033161","ATP1A1","ENSG00000163399","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp1b3","ENSMUSG00000032412","ATP1B3","ENSG00000069849","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp2a2","ENSMUSG00000029467","ATP2A2","ENSG00000174437","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp2b1","ENSMUSG00000019943","ATP2B1","ENSG00000070961","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp2c1","ENSMUSG00000032570","ATP2C1","ENSG00000017260","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp5a1","ENSMUSG00000025428","ATP5F1A","ENSG00000152234","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp5b","ENSMUSG00000025393","ATP5F1B","ENSG00000110955","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp5g3","ENSMUSG00000018770","ATP5MC3","ENSG00000154518","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
"Atp5j","ENSMUSG00000022890","ATP5PF","ENSG00000154723","CELF2data_01","CELF2","Mouse","CLIP","dataset01",NA
