"","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_name","gene_status","gene_type","talon_gene","havana_gene","hgnc_id","level","remap_num_mappings","remap_status","remap_target_status","transcript_id","transcript_status","transcript_name","talon_transcript","NNC_transcript","exon_number","exon_id","talon_exon","exon_status","ont","remap_original_location","source.1","tag","NIC_transcript","ISM.prefix_to_IDs","ISM.prefix_transcript","ISM_to_IDs","ISM_transcript","ISM.suffix_to_IDs","ISM.suffix_transcript","transcript_type","havana_transcript","transcript_support_level","gencode_gene_status","remap_substituted_missing_target","gencode_transcript_status","ccdsid","protein_id","genomic_transcript","intergenic_novel","intergenic_transcript","antisense_gene","gene_antisense_to_IDs","antisense_transcript"
"11","chr1",1784591,1784736,146,"-","TALON","exon",NA,NA,"ENSG00000078369.18_4","GNB1","KNOWN","protein_coding","135",NA,NA,NA,NA,NA,NA,"TALONT000240203","NOVEL","TALONT000240203","240203",NA,"2","1034207","1034207","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","chr1",1784009,1784119,111,"-","TALON","exon",NA,NA,"ENSG00000078369.18_4","GNB1","KNOWN","protein_coding","135",NA,NA,NA,NA,NA,NA,"TALONT000240203","NOVEL","TALONT000240203","240203",NA,"3","1034209","1034209","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","chr1",1811226,1811341,116,"-","TALON","exon",NA,NA,"ENSG00000078369.18_4","GNB1","KNOWN","protein_coding","135",NA,NA,NA,NA,NA,NA,"TALONT000240396","NOVEL","TALONT000240396","240396",NA,"1","1034428","1034428","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","chr1",1823511,1823573,63,"-","TALON","exon",NA,NA,"ENSG00000078369.18_4","GNB1","KNOWN","protein_coding","135",NA,NA,NA,NA,NA,NA,"TALONT000908824","NOVEL","TALONT000908824","908824",NA,"1","1034253","1034253","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","chr1",2324709,2324794,86,"+","TALON","exon",NA,NA,"ENSG00000157916.20_5","RER1","KNOWN","protein_coding","154",NA,NA,NA,NA,NA,NA,"TALONT000240855","NOVEL","TALONT000240855","240855",NA,"2","1035151","1035151","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","chr1",2375245,2375411,167,"+","TALON","exon",NA,NA,"ENSG00000149527.18_6","PLCH2","KNOWN","protein_coding","156",NA,NA,NA,NA,NA,NA,"TALONT000921751","NOVEL","TALONT000921751","921751",NA,"1","2085833","2085833","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","chr1",3772438,3772565,128,"-","TALON","exon",NA,NA,"ENSG00000116198.13_6","CEP104","KNOWN","protein_coding","200",NA,NA,NA,NA,NA,NA,"TALONT001704701","NOVEL","TALONT001704701","1704701",NA,"2","1037340","1037340","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","chr1",6546135,6546158,24,"-","TALON","exon",NA,NA,"ENSG00000171680.22_5","PLEKHG5","KNOWN","protein_coding","247",NA,NA,NA,NA,NA,NA,"TALONT000242742","NOVEL","TALONT000242742","242742",NA,"1","1038014","1038014","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","chr1",6673056,6673261,206,"-","TALON","exon",NA,NA,"ENSG00000162413.16_5","KLHL21","KNOWN","protein_coding","253",NA,NA,NA,NA,NA,NA,"TALONT000242998","NOVEL","TALONT000242998","242998",NA,"1","1038434","1038434","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","chr1",7764815,7764954,140,"+","TALON","exon",NA,NA,"ENSG00000171735.19_4","CAMTA1","KNOWN","protein_coding","261",NA,NA,NA,NA,NA,NA,"TALONT000243535","NOVEL","TALONT000243535","243535",NA,"1","1039328","1039328","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","chr1",7764850,7764954,105,"+","TALON","exon",NA,NA,"ENSG00000171735.19_4","CAMTA1","KNOWN","protein_coding","261",NA,NA,NA,NA,NA,NA,"TALONT000964961","NOVEL","TALONT000964961","964961",NA,"1","2164495","2164495","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","chr1",7764919,7764954,36,"+","TALON","exon",NA,NA,"ENSG00000171735.19_4","CAMTA1","KNOWN","protein_coding","261",NA,NA,NA,NA,NA,NA,"TALONT001725832","NOVEL","TALONT001725832","1725832",NA,"1","3548443","3548443","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","chr1",7764948,7764954,7,"+","TALON","exon",NA,NA,"ENSG00000171735.19_4","CAMTA1","KNOWN","protein_coding","261",NA,NA,NA,NA,NA,NA,"TALONT000243544","NOVEL","TALONT000243544","243544",NA,"1","1039338","1039338","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","chr1",7834570,7834690,121,"+","TALON","exon",NA,NA,"ENSG00000049245.13_4","VAMP3","KNOWN","protein_coding","271",NA,NA,NA,NA,NA,NA,"TALONT000243636","NOVEL","TALONT000243636","243636",NA,"3","1039490","1039490","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","chr1",8082453,8082527,75,"-","TALON","exon",NA,NA,"ENSG00000116285.13_4","ERRFI1","KNOWN","protein_coding","282",NA,NA,NA,NA,NA,NA,"TALONT000243902","NOVEL","TALONT000243902","243902",NA,"2","1039999","1039999","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","chr1",8442728,8442870,143,"-","TALON","exon",NA,NA,"ENSG00000142599.19_7","RERE","KNOWN","protein_coding","293",NA,NA,NA,NA,NA,NA,"TALONT002314026","NOVEL","TALONT002314026","2314026",NA,"1","4678432","4678432","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","chr1",8706177,8707263,1087,"-","TALON","exon",NA,NA,"ENSG00000142599.19_7","RERE","KNOWN","protein_coding","293",NA,NA,NA,NA,NA,NA,"TALONT000244547","NOVEL","TALONT000244547","244547",NA,"1","1041018","1041018","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","chr1",8703953,8706130,2178,"-","TALON","exon",NA,NA,"ENSG00000142599.19_7","RERE","KNOWN","protein_coding","293",NA,NA,NA,NA,NA,NA,"TALONT000244547","NOVEL","TALONT000244547","244547",NA,"2","1041019","1041019","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","chr1",8850665,8852139,1475,"-","TALON","exon",NA,NA,"ENSG00000142599.19_7","RERE","KNOWN","protein_coding","293",NA,NA,NA,NA,NA,NA,"TALONT000973615","NOVEL","TALONT000973615","973615",NA,"3","2180511","2180511","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","chr1",9671277,9671398,122,"+","TALON","exon",NA,NA,"ENSG00000188807.13_4","TMEM201","KNOWN","protein_coding","327",NA,NA,NA,NA,NA,NA,"TALONT000244934","NOVEL","TALONT000244934","244934",NA,"11","1041702","1041702","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","chr1",9671283,9671398,116,"+","TALON","exon",NA,NA,"ENSG00000188807.13_4","TMEM201","KNOWN","protein_coding","327",NA,NA,NA,NA,NA,NA,"TALONT000986872","NOVEL","TALONT000986872","986872",NA,"11","2203603","2203603","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","chr1",9749588,9749779,192,"+","TALON","exon",NA,NA,"ENSG00000171608.16_3","PIK3CD","KNOWN","protein_coding","328",NA,NA,NA,NA,NA,NA,"TALONT000244961","NOVEL","TALONT000244961","244961",NA,"1","1041739","1041739","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chr1",9869362,9869465,104,"-","TALON","exon",NA,NA,"ENSG00000171603.18_4","CLSTN1","KNOWN","protein_coding","332",NA,NA,NA,NA,NA,NA,"TALONT000245025","NOVEL","TALONT000245025","245025",NA,"2","1041777","1041777","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","chr1",9869358,9869465,108,"-","TALON","exon",NA,NA,"ENSG00000171603.18_4","CLSTN1","KNOWN","protein_coding","332",NA,NA,NA,NA,NA,NA,"TALONT001745841","NOVEL","TALONT001745841","1745841",NA,"2","2206811","2206811","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","chr1",9954196,9954301,106,"-","TALON","exon",NA,NA,"ENSG00000171603.18_4","CLSTN1","KNOWN","protein_coding","332",NA,NA,NA,NA,NA,NA,"TALONT000990779","NOVEL","TALONT000990779","990779",NA,"2","2210954","2210954","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","chr1",9950252,9950424,173,"-","TALON","exon",NA,NA,"ENSG00000178585.15_4","CTNNBIP1","KNOWN","protein_coding","335",NA,NA,NA,NA,NA,NA,"TALONT000991875","NOVEL","TALONT000991875","991875",NA,"2","1042092","1042092","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","chr1",9950230,9950424,195,"-","TALON","exon",NA,NA,"ENSG00000178585.15_4","CTNNBIP1","KNOWN","protein_coding","335",NA,NA,NA,NA,NA,NA,"TALONT001748786","NOVEL","TALONT001748786","1748786",NA,"2","3592085","3592085","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","chr1",10270570,10270851,282,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000246019","NOVEL","TALONT000246019","246019",NA,"1","1043251","1043251","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","chr1",10334265,10335482,1218,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000999184","NOVEL","TALONT000999184","999184",NA,"11","2227008","2227008","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","chr1",10334274,10334731,458,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000999207","NOVEL","TALONT000999207","999207",NA,"11","1043225","1043225","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","chr1",10334818,10335482,665,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000999207","NOVEL","TALONT000999207","999207",NA,"12","2226686","2226686","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","chr1",10270628,10270851,224,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT001000265","NOVEL","TALONT001000265","1000265",NA,"1","2228944","2228944","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","chr1",10334818,10335486,669,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000246002","NOVEL","TALONT000246002","246002",NA,"12","1043227","1043227","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chr1",10334265,10334731,467,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000246045","NOVEL","TALONT000246045","246045",NA,"11","1043275","1043275","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","chr1",10320146,10320288,143,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000246078","NOVEL","TALONT000246078","246078",NA,"5","1043258","1043258","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","chr1",10334274,10335482,1209,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000998815","NOVEL","TALONT000998815","998815",NA,"11","2226195","2226195","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","chr1",10334973,10335011,39,"+","TALON","exon",NA,NA,"ENSG00000054523.17_4","KIF1B","KNOWN","protein_coding","351",NA,NA,NA,NA,NA,NA,"TALONT000999507","NOVEL","TALONT000999507","999507",NA,"11","1043300","1043300","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","chr1",11123829,11124005,177,"-","TALON","exon",NA,NA,"ENSG00000171824.14_5","EXOSC10","KNOWN","protein_coding","380",NA,NA,NA,NA,NA,NA,"TALONT000249223","NOVEL","TALONT000249223","249223",NA,"26","1048165","1048165","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","chr1",11144543,11147184,2642,"-","TALON","exon",NA,NA,"ENSG00000171824.14_5","EXOSC10","KNOWN","protein_coding","380",NA,NA,NA,NA,NA,NA,"TALONT000250682","NOVEL","TALONT000250682","250682",NA,"10","1050315","1050315","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","chr1",11587033,11587146,114,"+","TALON","exon",NA,NA,"ENSG00000204624.8_4","DISP3","KNOWN","protein_coding","394",NA,NA,NA,NA,NA,NA,"TALONT000252020","NOVEL","TALONT000252020","252020",NA,"14","1052364","1052364","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","chr1",11583423,11583499,77,"+","TALON","exon",NA,NA,"ENSG00000204624.8_4","DISP3","KNOWN","protein_coding","394",NA,NA,NA,NA,NA,NA,"TALONT000252406","NOVEL","TALONT000252406","252406",NA,"11","1052349","1052349","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","chr1",11591767,11592460,694,"+","TALON","exon",NA,NA,"ENSG00000204624.8_4","DISP3","KNOWN","protein_coding","394",NA,NA,NA,NA,NA,NA,"TALONT000253128","NOVEL","TALONT000253128","253128",NA,"1","1053774","1053774","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chr1",11605041,11607711,2671,"+","TALON","exon",NA,NA,"ENSG00000204624.8_4","DISP3","KNOWN","protein_coding","394",NA,NA,NA,NA,NA,NA,"TALONT000253209","NOVEL","TALONT000253209","253209",NA,"2","1053665","1053665","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","chr1",11752158,11752873,716,"-","TALON","exon",NA,NA,"ENSG00000116670.15_6","MAD2L2","KNOWN","protein_coding","401",NA,NA,NA,NA,NA,NA,"TALONT000253695","NOVEL","TALONT000253695","253695",NA,"1","1054521","1054521","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","chr1",11751990,11752158,169,"-","TALON","exon",NA,NA,"ENSG00000116670.15_6","MAD2L2","KNOWN","protein_coding","401",NA,NA,NA,NA,NA,NA,"TALONT001043583","NOVEL","TALONT001043583","1043583",NA,"1","2305344","2305344","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","chr1",12063815,12063946,132,"+","TALON","exon",NA,NA,"ENSG00000116688.17_7","MFN2","KNOWN","protein_coding","417",NA,NA,NA,NA,NA,NA,"TALONT000256134","NOVEL","TALONT000256134","256134",NA,"12","1058231","1058231","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","chr1",16084850,16085139,290,"+","TALON","exon",NA,NA,"ENSG00000162458.13_5","FBLIM1","KNOWN","protein_coding","534",NA,NA,NA,NA,NA,NA,"TALONT000260308","NOVEL","TALONT000260308","260308",NA,"1","1064859","1064859","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","chr1",16085139,16085202,64,"+","TALON","exon",NA,NA,"ENSG00000162458.13_5","FBLIM1","KNOWN","protein_coding","534",NA,NA,NA,NA,NA,NA,"TALONT000260310","NOVEL","TALONT000260310","260310",NA,"1","1064861","1064861","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","chr1",16642932,16643063,132,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT000262975","NOVEL","TALONT000262975","262975",NA,"2","1068788","1068788","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","chr1",16642932,16643066,135,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT000263023","NOVEL","TALONT000263023","263023",NA,"2","1068850","1068850","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","chr1",16655203,16655276,74,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT000263056","NOVEL","TALONT000263056","263056",NA,"2","1068883","1068883","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","chr1",16636731,16636852,122,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT000263104","NOVEL","TALONT000263104","263104",NA,"3","1068951","1068951","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","chr1",16642932,16643152,221,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT001068387","NOVEL","TALONT001068387","1068387",NA,"3","1068893","1068893","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","chr1",16642932,16643222,291,"-","TALON","exon",NA,NA,"ENSG00000037637.11_5","FBXO42","KNOWN","protein_coding","564",NA,NA,NA,NA,NA,NA,"TALONT001068549","NOVEL","TALONT001068549","1068549",NA,"2","1069121","1069121","NOVEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
