net	mod	dataset	target	OR	Fisher.p	X.95.CI	X.95.CI.1	Overlap	Reference.List	Input.List	Background	X..List.Overlap	label	target.region	data.type	cell.type	mod.num	module.color
net.isoExpr	net.isoExprM.3_brown	dataset79	PABPN1_eCLIP_HepG2	2.6792263842135	1.978049207166191e-28	2.28028363547175	3.13952200932008	235	1048	1454	13567	22.4	2.7	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset83	NOL12_eCLIP_HepG2	1.1764917769494	0.49582209909876845	0.870615517744614	1.56499336025693	57	463	1454	13567	12.3		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset85	HNRNPA1_eCLIP_HepG2	0.94649950997615	1	0.292434586790362	2.38591712984376	5	49	1454	13567	10.2		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset87	MATR3_eCLIP_HepG2	1.58354024494552	0.0015652011385466275	1.23274956230838	2.01475560107273	85	542	1454	13567	15.7		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset88	CSTF2_eCLIP_HepG2	1.10188172315259	0.7893610832042998	0.824614974202591	1.45076113476455	61	524	1454	13567	11.6		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset90	SF3B4_eCLIP_HepG2	0.883000525123801	1	0.341083227233116	1.92807450175754	7	73	1454	13567	9.59		CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset91	SRSF1_eCLIP_HepG2	2.54096633761492	4.0772078571799365e-47	2.25217434013945	2.86466467375422	495	2540	1454	13567	19.5	2.5	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset92	ILF3_eCLIP_HepG2	3.22038499262881	6.7361899958766e-72	2.85208837704458	3.63343055104367	508	2239	1454	13567	22.7	3.2	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset93	DDX55_eCLIP_HepG2	1.66369860170744	0.0028259716818962357	1.24200491583322	2.19921859885723	63	384	1454	13567	16.4		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset95	BUD13_eCLIP_HepG2	0.655586566646058	1	0.472129674168591	0.891168705940996	46	621	1454	13567	7.41		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset98	TIA1_eCLIP_HepG2	1.12781777585678	0.20182384041160786	0.983400092347214	1.29078323914083	308	2639	1454	13567	11.7		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset100	PTBP1_eCLIP_HepG2	1.24056307992241	0.10665596032818865	1.00633310566684	1.51890118684321	119	931	1454	13567	12.8		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset103	SAFB_eCLIP_HepG2	0.878878700072503	1	0.718649790305736	1.06756234229041	125	1296	1454	13567	9.65		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset104	AKAP1_eCLIP_HepG2	1.04006333305936	0.9752147368477815	0.88488214198249	1.21795303868667	205	1856	1454	13567	11		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset107	HNRNPUL1_eCLIP_HepG2	1.43432367987948	0.10412436879230783	1.00808426099727	1.99874058783143	43	295	1454	13567	14.6		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset109	U2AF2_eCLIP_HepG2	2.34764878244289	7.927821847039676e-16	1.94155118532986	2.82662436028174	160	766	1454	13567	20.9	2.3	CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset111	LSM11_eCLIP_HepG2	1.46420374679445	0.006043793696636541	1.1552458923783	1.83968798926911	94	640	1454	13567	14.7		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset118	AQR_eCLIP_HepG2	0	1	0	2.32270889419107	0	15	1454	13567	0		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset119	UTP18_eCLIP_HepG2	2.92600188119969	8.84748369049587e-25	2.42584292220437	3.51675679877763	172	703	1454	13567	24.5	2.9	NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset120	PCBP1_eCLIP_HepG2	1.64538463433016	4.0234071600802094e-4	1.28909689233872	2.08147330718271	90	557	1454	13567	16.2	1.6	3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset123	PRPF4_eCLIP_HepG2	1.96543446053032	0.29084652926402904	0.784451545122942	4.33638913822196	8	42	1454	13567	19		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset124	TIAL1_eCLIP_HepG2	1.88312608036136	0.013244133485150722	1.21845222387457	2.82734346757473	30	164	1454	13567	18.3		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset127	KHSRP_eCLIP_HepG2	0.637903374995733	1	0.53512928396423	0.756543449288295	164	2177	1454	13567	7.53		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset133	TARDBP_eCLIP_HepG2	0.898009683503589	1	0.526343193573522	1.45028176511394	19	195	1454	13567	9.74		NA	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset137	FXR2_eCLIP_HepG2	2.10818154124806	7.411693815266923e-20	1.81710240142327	2.44050468545371	272	1464	1454	13567	18.6	2.1	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset138	ZC3H11A_eCLIP_HepG2	1.96268204550548	1.9931432252487103e-9	1.606693215106	2.38467662796953	139	758	1454	13567	18.3	2	3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset141	EIF3D_eCLIP_HepG2	1.20421686292269	0.41671871416511963	0.897789075550276	1.59150594280175	60	478	1454	13567	12.6		CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset144	UCHL5_eCLIP_HepG2	6.20241358274583	4.1756820205489276e-182	5.50343183392332	6.99078962853695	644	2020	1454	13567	31.9	6.2	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset146	PCBP2_eCLIP_HepG2	2.26359381397156	7.267756517009615e-4	1.48652325969302	3.36245258487944	33	156	1454	13567	21.2	2.3	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset152	QKI_eCLIP_HepG2	0.856490774634735	1	0.705538160559126	1.03333280310965	135	1428	1454	13567	9.45		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset153	LIN28B_eCLIP_HepG2	1.0549429386051	0.9122093913238897	0.874241554836174	1.26605045472609	147	1314	1454	13567	11.2		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset154	LARP7_eCLIP_HepG2	1.22621341676982	0.3030700619311617	0.930684506173796	1.59489067525092	68	534	1454	13567	12.7		NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset156	RBM22_eCLIP_HepG2	1.0947495621393	1	0.561668846500261	1.96587859154583	13	112	1454	13567	11.6		5SS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset159	FKBP4_eCLIP_HepG2	2.48623972394172	3.3840580792700343e-9	1.89521103779581	3.2311999791561	78	348	1454	13567	22.4	2.5	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset160	SRSF7_eCLIP_HepG2	2.44396121763668	2.5256629288050443e-4	1.59998977406006	3.64458649840895	33	147	1454	13567	22.4	2.4	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset161	FAM120A_eCLIP_HepG2	1.59900324418886	0.1661934190284119	0.948841033637639	2.57633860919563	21	131	1454	13567	16		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset162	DDX52_eCLIP_HepG2	2.15011094239185	5.991056036638114e-6	1.60285805783287	2.84979493164515	65	323	1454	13567	20.1	2.2	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset165	CSTF2T_eCLIP_HepG2	0.451482128745976	1	0.212400169990333	0.852004656259875	10	193	1454	13567	5.18		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset170	NOLC1_eCLIP_HepG2	2.3727976905221	9.713634120585649e-21	2.00853284732636	2.79505339963737	213	1030	1454	13567	20.7	2.4	NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset172	SRSF9_eCLIP_HepG2	1.81975778415554	3.660809293891128e-24	1.62758306807126	2.03416113494459	671	4549	1454	13567	14.8	1.8	CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset174	TBRG4_eCLIP_HepG2	1.64639571459123	9.99473659872874e-14	1.45632764178197	1.85917916357894	439	2959	1454	13567	14.8	1.6	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset175	BCCIP_eCLIP_HepG2	3.22013804509135	6.806549567139806e-91	2.86508129315967	3.62250839813472	979	5706	1454	13567	17.2	3.2	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset180	PRPF8_eCLIP_HepG2	1.7294335269815	1.2081231945502408e-16	1.53089481896213	1.9519012728255	450	2943	1454	13567	15.3	1.7	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset181	IGF2BP1_eCLIP_HepG2	8.3372951225779	0.158884791447699	0.603989342056146	115.164826581522	2	4	1454	13567	50		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset182	DGCR8_eCLIP_HepG2	0.904743145808442	1	0.789743875017019	1.03426439552495	309	3092	1454	13567	9.99		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset185	DKC1_eCLIP_HepG2	1.79617348833283	4.3002467876302843e-20	1.59543710042035	2.02071901991519	498	3221	1454	13567	15.5	1.8	NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset187	TRA2A_eCLIP_HepG2	3.02015502511022	1.070604441001506e-24	2.49043918400565	3.64928020899608	163	649	1454	13567	25.1	3	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset188	G3BP1_eCLIP_HepG2	1.42553874757214	0.05143743802108823	1.05966325607358	1.89020278438316	60	415	1454	13567	14.5		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset192	DDX6_eCLIP_HepG2	4.26235465896395	1.7845096103922898e-14	3.04955824869758	5.9029621267956	59	178	1454	13567	33.1	4.3	3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset194	HLTF_eCLIP_HepG2	0.539326375564892	1	0.227269731722595	1.09951670013056	8	131	1454	13567	6.11		CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset195	SUGP2_eCLIP_HepG2	1.02952949120248	1	0.619075454510021	1.63127254993485	21	191	1454	13567	11		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset196	SMNDC1_eCLIP_HepG2	0.672769744433976	1	0.486175624294189	0.911935843671983	47	620	1454	13567	7.58		NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset199	NCBP2_eCLIP_HepG2	1.70840178740329	2.3347080265273847e-8	1.43993917194403	2.01939756283587	191	1176	1454	13567	16.2	1.7	CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset200	STAU2_eCLIP_HepG2	6.67939308760206	0.037157972806052236	1.32361747632108	31.0871063748967	4	9	1454	13567	44.4		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset201	U2AF1_eCLIP_HepG2	2.05251226079283	7.948861357238937e-26	1.80886684922886	2.32629730732642	413	2375	1454	13567	17.4	2.1	CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset202	EXOSC5_eCLIP_HepG2	2.72131647990083	1.4974811355731244e-63	2.42984559642421	3.04716772410356	657	3473	1454	13567	18.9	2.7	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset204	NIP7_eCLIP_HepG2	0.672795965401339	1	0.42706426886487	1.01677681388832	25	332	1454	13567	7.53		NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset207	SLTM_eCLIP_HepG2	2.38677309106628	3.278134738902322e-18	1.995383809148	2.84455922823951	182	867	1454	13567	21	2.4	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset210	HNRNPU_eCLIP_HepG2	1.8885880055367	3.8575921848800944e-11	1.58930303036448	2.23575195395019	190	1083	1454	13567	17.5	1.9	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset213	TAF15_eCLIP_HepG2	1.20025432890474	0.653323805429497	0.760571468184659	1.82467510425584	26	207	1454	13567	12.6		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset215	EIF3H_eCLIP_HepG2	1.27252845626757	0.2569698041553223	0.935167956624918	1.70374206706636	55	418	1454	13567	13.2		CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset216	PPIG_eCLIP_HepG2	2.23306224271068	4.3073246498156505e-4	1.50396319221359	3.24315068572591	37	177	1454	13567	20.9	2.2	CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset218	RBM5_eCLIP_HepG2	2.36526129876045	0.007590495060283835	1.35947507971533	3.94377098403551	20	91	1454	13567	22		CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset223	SF3A3_eCLIP_HepG2	1.01229842191852	1	0.716320501352743	1.39953914429654	43	397	1454	13567	10.8		CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset224	CDC40_eCLIP_HepG2	1.40461680827123	0.27156358700315725	0.886286674956378	2.14655450083689	26	181	1454	13567	14.4		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset225	HNRNPL_eCLIP_HepG2	0.776811337126684	1	0.683288923785212	0.881681963172158	359	3954	1454	13567	9.08		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset227	XPO5_eCLIP_HepG2	0.951704409895927	1	0.804151290371766	1.1216181716981	185	1794	1454	13567	10.3		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset228	IGF2BP3_eCLIP_HepG2	0	1	0	4.88254733623501	0	8	1454	13567	0		3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset231	GRSF1_eCLIP_HepG2	1.91806512500671	2.000381610365477e-22	1.69483307335857	2.16837572678758	436	2647	1454	13567	16.5	1.9	3UTR_CDS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset236	DDX3X_eCLIP_HepG2	1.91870101457419	5.157044894242605e-9	1.57343228575778	2.32750307810866	141	783	1454	13567	18	1.9	CDS_Other	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset238	SUPV3L1_eCLIP_HepG2	1.9054354715082	2.7768352026862446e-16	1.65149030985602	2.19375187019728	294	1716	1454	13567	17.1	1.9	5SS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset239	EFTUD2_eCLIP_HepG2	2.35401379596019	8.716585251451634e-18	1.96829065684201	2.80490301375439	182	876	1454	13567	20.8	2.4	5SS	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset241	DROSHA_eCLIP_HepG2	1.96277416514072	0.5261397588870219	0.479804405447284	6.02834582940204	4	21	1454	13567	19		Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset242	HNRNPM_eCLIP_HepG2	3.27333183379222	2.667385254279409e-5	1.99005828676796	5.23828589985015	26	93	1454	13567	28	3.3	Intron	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset254	NSUN2_eCLIP_HepG2	2.2789268326103	0.002846011986126092	1.41264408560433	3.56001705226634	26	122	1454	13567	21.3		NA	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.3_brown	dataset256	TROVE2_eCLIP_HepG2	1.43509931643106	0.5066787526293837	0.680811668044005	2.75126317600799	11	75	1454	13567	14.7		NonCodingExon	eCLIP	HepG2	3	brown
net.isoExpr	net.isoExprM.12_tan	dataset01	CELF2_CLIP_N2A	1.94148554562815	8.085887772213407e-6	1.49449947153733	2.5058049923136	91	2531	299	13567	3.6	1.9	Intron/Exon	CLIP	N2A	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset12	MBNL2_AS_Neuron	2.39847987872234	0.0037563780731326574	1.42644057428075	3.82857336319824	20	405	299	13567	4.94		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset14	NOVA2_AS_Neuron	1.80772010786577	0.04014350706651159	1.12965337823458	2.77273944808636	24	635	299	13567	3.78		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset15	NOVA2/PTBP2_AS_Neuron	1.93338435097437	0.004454586734840814	1.29451745473022	2.80550392911145	33	833	299	13567	3.96		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset19	RBFOX2_AS_Neuron	1.59844825204009	0.02033689889704082	1.1353752590479	2.20785655460532	46	1401	299	13567	3.28		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset26	QKI_GEX_NPC	0	1	0	4.66688908172487	0	37	299	13567	0		3UTR	GEX	NPC	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset27	QKI_AS_NPC	1.66895941532305	0.35084998045729815	0.704664411717591	3.39215461353319	8	223	299	13567	3.59		Intron/Exon	AS	NPC	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset28	RBFOX1/2/3_CLIP_AS_Neuron	1.68104477136731	0.1210342708199517	0.973496499053077	2.73483633268098	18	505	299	13567	3.56		Intron/Exon	CLIP_AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset29	SRRM3/4_AS_Neuron	1.19001111095978	1	0.469562243933482	2.51842292886857	7	269	299	13567	2.6		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset30	SRRM3/4_GEX_Neuron	1.078336569854	1	0.343883327368127	2.58641579096822	5	211	299	13567	2.37		3UTR	GEX	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset33	SRRM4_AS_Neuron	1.07429581615456	1	0.217322918483809	3.24430603298955	3	127	299	13567	2.36		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset36	SAM68_GEX_NPC	0.301615594545601	1	0.00756252497194391	1.72016986519805	1	147	299	13567	0.68		3UTR	GEX	NPC	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset37	SAM68_AS_NPC	0	1	0	2.67948149959887	0	63	299	13567	0		Intron/Exon	AS	NPC	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset38	RBFOX1_AS_Neuron	1.14061899082346	1	0.410955581724397	2.55059067306527	6	240	299	13567	2.5		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset39	RBFOX1_GEX_Neuron	1.62969032662445	0.7489464532416014	0.327447282959411	4.97999631416209	3	85	299	13567	3.53		3UTR	GEX	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset40	NELAVL_CLIP_Neuron	1.57441298659125	9.45809673749651e-4	1.24032472416508	1.99540987535121	134	4649	299	13567	2.88	1.6	Intron/Exon	CLIP	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset45	MSI2_AS_Retina	0.603912108166366	1	0.122875665455861	1.80575927007426	3	222	299	13567	1.35		Intron/Exon	AS	Retina	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset47	PTBP2_AS_Neuron	1.57657978793343	0.08664616658577101	1.02161916639604	2.34823375386866	28	844	299	13567	3.32		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset48	NELAVL_AS_Neuron	0.964309207091229	1	0.19533114261424	2.90511277785595	3	141	299	13567	2.13		Intron/Exon	AS	Neuron	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset255	PTBP1_CLIP_NPC	2.22088464069603	2.2591477710346782e-9	1.71684061320953	2.89419546349595	213	7208	299	13567	2.96	2.2	Intron/Exon	CLIP	NPC	12	tan
net.isoExpr	net.isoExprM.12_tan	dataset51	FASTKD2_eCLIP_HepG2	1.94032364815757	0.04165932494310975	1.12228014192744	3.16114765625023	18	442	299	13567	4.07		Intron	eCLIP	HepG2	12	tan
