dx	feature	class	OR	Z	P	fdr
NDD.fuTADA	isoUsage.M1_turquoise	Networks.isoUsage	1.42803494577289	5.823682404720345	5.756492209163573e-9	3.7554258697876647e-7
ASD.SFARI.1	n_transcripts_log2|tpm	txAnno	1.6340927975632658	5.809958283990996	6.248841114685753e-9	3.89132378505431e-7
ASD.fuTADA	n_transcripts_log2|tpm	txAnno	1.5719639137676633	5.786216791673886	7.198929577981819e-9	4.288058052971779e-7
ASD.SFARI.S	n_transcripts_log2	txAnno	1.3673469491940846	5.7596307398364255	8.429814479510315e-9	4.812019098720472e-7
NDD.fuTADA	isoExpr.M7_black	Networks.isoExpr	1.1897661619782292	5.640755830740488	1.6930530825776934e-8	9.27793089252576e-7
NDD.fuTADA	DTU.up	DGE/DTE/DTU	1.6611219571085594	5.487625982357002	4.07371467918317e-8	2.146534273261901e-6
DDD.kaplanis	DGE.up	DGE/DTE/DTU	2.209384476828053	5.463591612191422	4.6659629290225423e-08	2.282989004557458e-6
ASD.SFARI.1	isoExpr.M5_green	Networks.isoExpr	1.2927782318578485	5.46795018629675	4.5526977882060576e-8	2.282989004557458e-6
NDD.fuTADA	PgS	SingleCellMarkers	2.86539601624037	5.425478668118118	5.7799432905110435e-8	2.730524933793148e-6
NDD.fuTADA	DTU	DGE/DTE/DTU	1.5929625853524754	5.337188137842597	9.439907525000411e-8	4.310891103083521e-6
EPI.helbig	n_exons_log2	txAnno	1.6813025223342029	5.323345113795637	1.018762001005632e-7	4.502270778637793e-6
DDD.kaplanis	n_transcripts_log2|tpm	txAnno	1.4401942682816495	5.264219844428395	1.4078590232112521e-7	6.027396443123173e-6
NDD.fuTADA	geneExpr.M7_black	Networks.geneExpr	1.150238263609325	5.2457029348302395	1.556875850762131e-7	6.4633936834670284e-6
EPI.helbig	geneExpr.M5_green	Networks.geneExpr	1.2592023666073622	5.2322194558108555	1.6748673502424223e-7	6.7487302053885845e-6
EPI.helbig	DTE.up	DGE/DTE/DTU	2.953367320197413	5.198606818633667	2.0078772872508922e-7	7.859405381524922e-6
ASD.SFARI.1or2	DTE.up	DGE/DTE/DTU	1.6565766478976303	5.186912415297232	2.138092219207405e-7	7.958220440495355e-6
NDD.fuTADA	isoExpr.M20_royalblue	Networks.isoExpr	1.1415661088986364	5.185938232763117	2.149300410936702e-7	7.958220440495355e-6
ASD.SFARI.1or2	DGE.up	DGE/DTE/DTU	1.6554933496533344	5.180715859208287	2.2103597438710317e-7	7.968928550271877e-6
ASD.SFARI.1or2	isoExpr.M7_black	Networks.isoExpr	1.1794668926931027	5.094235021181959	3.5015218540912563e-7	1.230021779514108e-5
ASD.SFARI.S	n_exons_log2	txAnno	1.5536691153124726	5.0534665396990635	4.3386235436122727e-7	1.4859785636872034e-5
ASD.fuTADA	isoExpr.M5_green	Networks.isoExpr	1.2623569915957051	5.022794702363018	5.092497087818477e-7	1.7016392708076372e-5
SCZ.schema	isoExpr.M19_lightyellow	Networks.isoExpr	1.4210205360396644	4.972043051142913	6.625098802629808e-7	2.161044133238771e-5
NDD.fuTADA	isoUsage.M29_saddlebrown	Networks.isoUsage	1.1395865741356295	4.888850541977933	1.0142646103296075e-6	3.231494223608285e-5
DDD.kaplanis	DTE.up	DGE/DTE/DTU	2.064548453126809	4.88020592366077	1.0597512804367127e-6	3.2996801231779465e-5
EPI.helbig	n_transcripts_log2	txAnno	1.3288332957516498	4.866266879189753	1.1372592455246763e-6	3.462322591930681e-5
DDD.kaplanis	isoExpr.M7_black	Networks.isoExpr	1.2340530425055738	4.820905584243353	1.4290798718020667e-6	4.240976185425741e-5
NDD.fuTADA	isoExpr.M34_darkmagenta	Networks.isoExpr	1.1305973902368043	4.8173280959173885	1.454933435875984e-6	4.240976185425741e-5
DDD.kaplanis	geneExpr.M13_salmon	Networks.geneExpr	1.167466982205882	4.6370446764625415	3.5342604173230563e-6	1.008736827444289e-4
NDD.fuTADA	isoUsage.M12_tan	Networks.isoUsage	1.142869018508197	4.503824414120724	6.674135656362205e-6	1.8660338467788205e-4
ASD.fuTADA	DTE.up	DGE/DTE/DTU	2.043661261408742	4.483686740351909	7.336434101471995e-6	2.0101829438033266e-4
NDD.fuTADA	isoExpr.M1_turquoise	Networks.isoExpr	1.187521733595592	4.462712882080448	8.092846059998622e-6	2.1739606082741398e-4
ASD.fuTADA	geneExpr.M13_salmon	Networks.geneExpr	1.1725755217887124	4.456291308258443	8.338970046633044e-6	2.1969978776706288e-4
NDD.fuTADA	isoUsage.M2_blue	Networks.isoUsage	1.2716865926267513	4.44155262505608	8.93120978186078e-6	2.3086334719149562e-4
NDD.fuTADA	ExDp	SingleCellMarkers	2.7756504156440225	4.432163859797071	9.329207428319546e-6	2.3668544771847738e-4
NDD.fuTADA	isoExpr.M40_mediumpurple3	Networks.isoExpr	1.1208001570777972	4.346637353886267	1.382404964451994e-5	3.4434450932713305e-4
NDD.fuTADA	isoExpr.M23_darkturquoise	Networks.isoExpr	1.1269231066218228	4.30411597339459	1.676538283439082e-5	4.1015311576991824e-4
ASD.SFARI.1	isoExpr.M7_black	Networks.isoExpr	1.2395891357806672	4.282390131229466	1.848964336858598e-5	4.4440020026250516e-4
DDD.kaplanis	isoUsage.M3_brown	Networks.isoUsage	1.2726625221471708	4.274971369705942	1.9116185828280753e-5	4.515374928404247e-4
ASD.SFARI.1or2	isoExpr.M5_green	Networks.isoExpr	1.1458249570319634	4.252412475350052	2.1147988007090637e-5	4.828790594952362e-4
ASD.SFARI.S	isoExpr.M27_white	Networks.isoExpr	1.2098519157847105	4.252630682450343	2.112738496613961e-5	4.828790594952362e-4
NDD.fuTADA	ExM-U	SingleCellMarkers	2.57685614712481	4.190451884157007	2.7839944888724808e-5	6.252577786484097e-4
DDD.kaplanis	isoExpr.M20_royalblue	Networks.isoExpr	1.1531463404552762	4.116697961050835	3.8433921985454945e-5	8.492656954850529e-4
NDD.fuTADA	isoExpr.M24_darkgrey	Networks.isoExpr	1.1235806532985677	4.108226075615638	3.987097237383486e-5	8.670354309865677e-4
ASD.SFARI.1	DGE.up	DGE/DTE/DTU	2.0009769818894907	4.104440056340494	4.052953406316061e-5	8.675853385395318e-4
ASD.fuTADA	DGE.up	DGE/DTE/DTU	1.9279248646932712	4.088294986277313	4.3455534979410974e-5	9.159089680275852e-4
DDD.kaplanis	isoUsage.M2_blue	Networks.isoUsage	1.4174647559830977	4.083182191767945	4.4423167622967384e-5	9.221172673252321e-4
ASD.SFARI.S	PgS	SingleCellMarkers	4.34015902895344	4.074881492858504	4.603778523234463e-5	9.41369638333017e-4
ASD.fuTADA	isoExpr.M7_black	Networks.isoExpr	1.2196551079342495	4.065710958611856	4.7886255357020965e-5	9.507850701321554e-4
NDD.fuTADA	isoExpr.M45_darkorange2	Networks.isoExpr	1.1078996875402836	4.067199668309455	4.758147206630804e-5	9.507850701321554e-4
ASD.SFARI.1	isoExpr.M23_darkturquoise	Networks.isoExpr	1.177939613885982	4.0366424831684835	5.422160064738332e-5	0.001061194184098788
DDD.kaplanis	ExM-U	SingleCellMarkers	3.4855728699630104	4.027121668223299	5.646381843257689e-5	0.0010895131162342302
NDD.fuTADA	isoUsage.M8_pink	Networks.isoUsage	1.1361625414115455	4.02235451826898	5.761924383585922e-5	0.0010963661674323214
DDD.kaplanis	isoExpr.M19_lightyellow	Networks.isoExpr	1.1650018308297974	4.013487095897243	5.982827468220496e-5	0.0011098380761391559
NDD.fuTADA	isoExpr.M6_red	Networks.isoExpr	1.1469960813025288	4.013017535528834	5.994745812722448e-5	0.0011098380761391559
ASD.SFARI.S	isoUsage.M27_white	Networks.isoUsage	1.1997999412455944	3.97745320746255	6.9657324635744e-5	0.0012724071300129237
EPI.epi25	geneExpr.M5_green	Networks.geneExpr	1.5180340463396003	3.9711207882715778	7.153529653375541e-5	0.0012895178454111172
SCZ.schema	isoExpr.M5_green	Networks.isoExpr	1.5251972562037615	3.9635617727256776	7.383974544346879e-5	0.0013137720942539254
NDD.fuTADA	isoExpr.M12_tan	Networks.isoExpr	1.1328560648894237	3.95805746550901	7.556178084620103e-5	0.0013271748687089155
ASD.SFARI.1or2	isoExpr.M1_turquoise	Networks.isoExpr	1.1644463337776063	3.9459883330408205	7.947148343872431e-5	0.001360949153888154
DDD.kaplanis	isoExpr.M40_mediumpurple3	Networks.isoExpr	1.1464574204909432	3.9489417033169953	7.849746381117374e-5	0.001360949153888154
EPI.helbig	DGE	DGE/DTE/DTU	2.2716123474453567	3.939908751678	8.151260729089247e-5	0.0013786700245496627
DDD.kaplanis	isoExpr.M33_darkolivegreen	Networks.isoExpr	1.157422957701092	3.8976268275588466	9.713995140374816e-5	0.0016229479685748167
ASD.SFARI.S	isoExpr.M7_black	Networks.isoExpr	1.263907884230224	3.885555655372972	1.0209609903396893e-4	0.0016852006708016557
ASD.SFARI.1or2	isoExpr.M29_saddlebrown	Networks.isoExpr	1.1141606249691838	3.8709661803766764	1.0840483259745181e-4	0.0017472308312765762
NDD.fuTADA	geneExpr.M6_red	Networks.geneExpr	1.1107068058141683	3.8724341111928755	1.0775381071637894e-4	0.0017472308312765762
ASD.fuTADA	isoUsage.M2_blue	Networks.isoUsage	1.4410102783704728	3.8494053483739585	1.1840492596748066e-4	0.0018862180066912615
DDD.kaplanis	isoExpr.M34_darkmagenta	Networks.isoExpr	1.1422635761249993	3.843916268923202	1.2108633421655428e-4	0.0019067618146744755
DDD.kaplanis	isoExpr.M31_paleturquoise	Networks.isoExpr	1.1405341686261121	3.8075674377115973	1.4034047508334346e-4	0.002184846032547506
NDD.fuTADA	isoExpr.M31_paleturquoise	Networks.isoExpr	1.107056868185877	3.783730203167336	1.5449529455518254e-4	0.0023781859948382032
ASD.SFARI.1	geneExpr.M13_salmon	Networks.geneExpr	1.1552936585508988	3.7779110545435706	1.5814933796059818e-4	0.002380929593472742
ASD.SFARI.1or2	geneExpr.M5_green	Networks.geneExpr	1.10713540413245	3.779033868667055	1.5743801185989987e-4	0.002380929593472742
ASD.fuTADA	DTU.up	DGE/DTE/DTU	1.7826414086203637	3.7690221055372013	1.638883743332472e-4	0.0024405116612668336
NDD.fuTADA	SingleCellDTU	SingleCellMarkers	1.8923509913817933	3.763455126359445	1.675818091297925e-4	0.0024686782635249
NDD.fuTADA	geneExpr.M13_salmon	Networks.geneExpr	1.1086794874427581	3.753518044647928	1.7436997384324211e-4	0.0025413496187791673
ASD.fuTADA	isoExpr.M24_darkgrey	Networks.isoExpr	1.1653218453507967	3.735104305084031	1.876374000257237e-4	0.0027059288214235943
NDD.fuTADA	isoExpr.M10_purple	Networks.isoExpr	1.1236124672501864	3.692311757478191	2.222248168619056e-4	0.003171333323966778
NDD.fuTADA	isoExpr.M27_white	Networks.isoExpr	1.1088619260603172	3.6716925604940633	2.4094943135918713e-4	0.003403100216103983
NDD.fuTADA	isoUsage.M5_green	Networks.isoUsage	0.8269006186783074	-3.6604612001645793	2.5176167712222513e-4	0.003519525486300494
NDD.fuTADA	isoExpr.M30_steelblue	Networks.isoExpr	1.098472961669023	3.653354316246562	2.5883667164372016e-4	0.0035818812136555215
ASD.SFARI.S	vRG	SingleCellMarkers	3.977727602877629	3.6470743415869853	2.652432017521986e-4	0.00363383186400512
ASD.SFARI.1or2	geneExpr.M8_pink	Networks.geneExpr	1.1030010466939222	3.6369698750413293	2.7586418015329003e-4	0.003741920067425815
NDD.fuTADA	DTU.not.DGE	DGE/DTE/DTU	1.4316852899758212	3.5788953210806858	3.450496303341702e-4	0.004613590716380513
DDD.kaplanis	isoUsage.M27_white	Networks.isoUsage	1.14334047183612	3.577526396806671	3.468611998446663e-4	0.004613590716380513
DDD.kaplanis	isoUsage.M12_tan	Networks.isoUsage	1.1650451400734678	3.566631414029683	3.615995156736234e-4	0.004718012728312991
DDD.kaplanis	isoUsage.M11_greenyellow	Networks.isoUsage	1.1844343504751191	3.567254337696809	3.607413069284463e-4	0.004718012728312991
ASD.fuTADA	geneExpr.M7_black	Networks.geneExpr	1.1540970612611687	3.5639290792607854	3.6534470436201e-4	0.004721907971471261
ASD.SFARI.1	DTE.up	DGE/DTE/DTU	1.8470041089198121	3.5606779613871713	3.6989851683171584e-4	0.004736083813639726
ASD.SFARI.S	isoExpr.M19_lightyellow	Networks.isoExpr	1.194661709905203	3.52386278714139	4.253044304113165e-4	0.005395065459847256
ASD.fuTADA	isoExpr.M30_steelblue	Networks.isoExpr	1.1301503488816285	3.5050764983007965	4.564761012251935e-4	0.005737360171362524
DDD.kaplanis	DTU.up	DGE/DTE/DTU	1.6629044046276664	3.494662239354872	4.7466202508771645e-4	0.00591169976700156
NDD.fuTADA	isoUsage.M10_purple	Networks.isoUsage	1.1181098292400644	3.4718623310447443	5.16861319053599e-4	0.00637927934327415
ASD.SFARI.S	PgG2M	SingleCellMarkers	3.3512525856222126	3.3894113944171798	7.004284097302336e-4	0.008567740369021607
NDD.fuTADA	isoExpr.M29_saddlebrown	Networks.isoExpr	1.1006546381984694	3.3835967182201836	7.154300404888729e-4	0.008673797836015538
ASD.SFARI.1or2	isoExpr.M24_darkgrey	Networks.isoExpr	1.1074759636352054	3.3751856527091406	7.376590998229667e-4	0.008864850585591794
ASD.SFARI.1or2	isoExpr.M34_darkmagenta	Networks.isoExpr	1.0958747832770097	3.3397228771488634	8.386202827505252e-4	0.009990519890158431
ASD.SFARI.1	isoUsage.M2_blue	Networks.isoUsage	1.3907069785946253	3.327903437313668	8.750219047652135e-4	0.010253463792094119
ASD.fuTADA	isoExpr.M27_white	Networks.isoExpr	1.14488912521746	3.327700098846244	8.756607764051183e-4	0.010253463792094119
ASD.fuTADA	isoExpr.M45_darkorange2	Networks.isoExpr	1.1277414348256911	3.3250575949719736	8.840027150686272e-4	0.010263421352915417
NDD.fuTADA	ExN-1	SingleCellMarkers	4.10247277125695	3.3149189251689832	9.166970766562155e-4	0.010553571386714413
ASD.SFARI.1	isoExpr.M34_darkmagenta	Networks.isoExpr	1.1381806341458953	3.2985835844867952	9.71739452041132e-4	0.011002339250383063
ASD.fuTADA	isoExpr.M37_skyblue3	Networks.isoExpr	1.1337318448851934	3.2999996638461573	9.668494428645331e-4	0.011002339250383063
ASD.fuTADA	geneExpr.M6_red	Networks.geneExpr	1.135720673057648	3.2926339168483443	9.925361726423692e-4	0.011145693086229884
SCZ.schema	n_transcripts_log2	txAnno	1.49583661918974	3.288035467348491	0.0010088912856790293	0.011237244401465611
DDD.kaplanis	geneExpr.M7_black	Networks.geneExpr	1.1348350220979977	3.272545793743031	0.0010658360510972878	0.011775769274220034
NDD.fuTADA	isoExpr.M33_darkolivegreen	Networks.isoExpr	1.1003740091833616	3.268704938489179	0.0010804090409934812	0.011841283089288555
EPI.helbig	isoExpr.M1_turquoise	Networks.isoExpr	1.32952053494843	3.2576688596809245	0.0011233140387636148	0.012213811373858352
NDD.fuTADA	DTE.not.DGE	DGE/DTE/DTU	1.542432526554319	3.2523321528778704	0.0011446217688943978	0.012347494672325394
ASD.SFARI.1or2	isoExpr.M45_darkorange2	Networks.isoExpr	1.0895324194549199	3.242294758235862	0.0011857131846907127	0.012690836429892785
NDD.fuTADA	ExM	SingleCellMarkers	2.975245270499849	3.2377432013061886	0.0012047920269670353	0.012795078115851458
DDD.kaplanis	isoUsage.M23_darkturquoise	Networks.isoUsage	1.1457849933495348	3.2352024758450404	0.0012155649721143724	0.012810184706128385
ASD.fuTADA	isoExpr.M6_red	Networks.isoExpr	1.1904595312366237	3.2328861849950967	0.0012254637550129792	0.012815918659296042
NDD.fuTADA	isoExpr.M14_cyan	Networks.isoExpr	1.1171432280925062	3.2165183373510087	0.0012975624109609841	0.013467125022852638
SCZ.schema	isoExpr.M13_salmon	Networks.isoExpr	1.3241089875884997	3.2035408469299815	0.001357487818152148	0.01398314519449957
ASD.SFARI.S	oRG	SingleCellMarkers	3.5624190137752683	3.1768038741257763	0.001489076994067825	0.015224145387111346
ASD.fuTADA	isoExpr.M39_orangered4	Networks.isoExpr	1.124069927823961	3.1431884792123204	0.0016711819423737755	0.016959401933719056
DDD.kaplanis	DTU.down	DGE/DTE/DTU	1.578178530886605	3.1364613089138147	0.0017099999806137762	0.017225735098829954
NDD.fuTADA	isoExpr.M43_ivory	Networks.isoExpr	1.0920682923745209	3.113395537375367	0.0018494796931952768	0.018429527933652393
DDD.kaplanis	ExDp	SingleCellMarkers	2.8600575304113827	3.1122924451437712	0.0018564050035357882	0.018429527933652393
ASD.SFARI.1or2	isoExpr.M23_darkturquoise	Networks.isoExpr	1.0968115822133904	3.1100412225233613	0.001870612357006791	0.018436970712944627
NDD.fuTADA	isoUsage.M27_white	Networks.isoUsage	1.0947199892103585	3.100220912507086	0.0019337635581878844	0.018879642704622657
SCZ.schema	isoExpr.M34_darkmagenta	Networks.isoExpr	1.2494439493389133	3.0987960470729075	0.0019430873148553243	0.018879642704622657
ASD.SFARI.1or2	isoUsage.M2_blue	Networks.isoUsage	1.1864134860367397	3.095293330862009	0.001966183423433596	0.018969516127493147
NDD.fuTADA	isoExpr.M11_greenyellow	Networks.isoExpr	1.0986602014766735	3.0916712861472626	0.001990331166452772	0.01906820767860348
EPI.helbig	geneExpr.M6_red	Networks.geneExpr	1.169659916188927	3.089224278535147	0.0020067988223307753	0.019092461018008072
DDD.kaplanis	isoExpr.M29_saddlebrown	Networks.isoExpr	1.1258899135367704	3.085436176797716	0.002032538407680826	0.01920398357601884
DDD.kaplanis	isoExpr.M51_thistle1	Networks.isoExpr	1.1241718779904706	3.0818518226413967	0.002057172137358858	0.019303601562887913
ASD.fuTADA	DTU.down	DGE/DTE/DTU	1.6111849691758808	3.076556980718916	0.002094062748745718	0.019516095005317237
DDD.kaplanis	isoExpr.M24_darkgrey	Networks.isoExpr	1.132677182333335	3.0731421909359735	0.0021181753356082065	0.019607433849886776
ASD.SFARI.1or2	isoUsage.M29_saddlebrown	Networks.isoUsage	1.097199563819513	3.0310946903605998	0.002436688185260589	0.02240444841481213
BIP.bipex	geneExpr.M7_black	Networks.geneExpr	1.3023574106305351	3.0189196287924784	0.0025367781906285485	0.023169240807740743
ASD.fuTADA	ExM	SingleCellMarkers	4.228074098147433	3.011432044396033	0.0026001859600273724	0.023591091160513247
NDD.fuTADA	novel_exon	txAnno	1.2899082335978984	3.000417382744068	0.002696098824493194	0.02430036440497155
DDD.kaplanis	isoUsage.M1_turquoise	Networks.isoUsage	1.325902752921635	2.988765732037515	0.002801068085983619	0.02498893584838979
EPI.helbig	isoExpr.M20_royalblue	Networks.isoExpr	1.1634214819131026	2.9879042657481287	0.002808975270548925	0.02498893584838979
NDD.fuTADA	isoUsage.M4_yellow	Networks.isoUsage	0.8667133135787021	-2.937546508213384	0.0033082054732685964	0.029090912683273646
SCZ.schema	isoExpr.M25_orange	Networks.isoExpr	1.2779138253260987	2.9371403141539405	0.0033125418821829842	0.029090912683273646
ASD.fuTADA	isoExpr.M23_darkturquoise	Networks.isoExpr	1.1344398040501649	2.9259751740094053	0.0034337833797789623	0.029963587454122156
SCZ.schema	n_exons_log2	txAnno	1.7945862161770927	2.915812761463607	0.0035476333372798275	0.03040339162747986
ASD.SFARI.1	isoExpr.M28_skyblue	Networks.isoExpr	1.1318818824927195	2.91359305475163	0.003572953322645443	0.03040339162747986
NDD.fuTADA	isoExpr.M39_orangered4	Networks.isoExpr	1.0823364048523108	2.914216802486903	0.0035658217354443125	0.03040339162747986
NDD.fuTADA	isoUsage.M19_lightyellow	Networks.isoUsage	1.0992059787093262	2.917924182628634	0.0035237001582993023	0.03040339162747986
EPI.helbig	isoUsage.M8_pink	Networks.isoUsage	1.211883774260846	2.9091458824774765	0.0036241770293174336	0.030460874418189475
NDD.fuTADA	isoExpr.M37_skyblue3	Networks.isoExpr	1.0840209413110793	2.9094020724019494	0.0036212081332425896	0.030460874418189475
ASD.fuTADA	isoExpr.M35_sienna3	Networks.isoExpr	1.120091174460514	2.899750415001783	0.003734599001900967	0.0311975648329532
NDD.fuTADA	isoExpr.M18_lightgreen	Networks.isoExpr	1.0948848047749262	2.8936683295401235	0.0038077013410190053	0.03161545961936992
ASD.fuTADA	isoUsage.M10_purple	Networks.isoUsage	1.1549878758143037	2.8895503855101117	0.003857931760368418	0.0318395572994261
EPI.helbig	DTE	DGE/DTE/DTU	1.8304736965698019	2.8820512222376875	0.00395095500534036	0.03241202609171433
DDD.kaplanis	isoExpr.M11_greenyellow	Networks.isoExpr	1.1300559726294417	2.853903627828514	0.004318562973174066	0.035216852816955184
EPI.helbig	n_transcripts_log2|tpm	txAnno	1.3474144621469266	2.8461144284045528	0.0044256288468252905	0.0356686348163409
ASD.SFARI.S	isoUsage.M20_royalblue	Networks.isoUsage	1.1786532348741847	2.8460852084335273	0.004426034977210185	0.0356686348163409
ASD.SFARI.1	isoExpr.M33_darkolivegreen	Networks.isoExpr	1.1406849862241364	2.8388081109174097	0.004528237885123649	0.03585945608450519
ASD.SFARI.1	isoExpr.M31_paleturquoise	Networks.isoExpr	1.1217562552607006	2.8423500791595715	0.004478228764707393	0.03585945608450519
NDD.fuTADA	geneExpr.M23_darkturquoise	Networks.geneExpr	1.0815651739984644	2.8404009186641077	0.004505686734048174	0.03585945608450519
SCZ.schema	geneExpr.M13_salmon	Networks.geneExpr	1.2395080018776887	2.8303841032272303	0.004649215178492791	0.03660588962376508
ASD.SFARI.1or2	isoExpr.M13_salmon	Networks.isoExpr	1.0948015161174136	2.820475402225466	0.004795254967150307	0.03753999602854812
ASD.SFARI.1	isoExpr.M11_greenyellow	Networks.isoExpr	1.142282896562374	2.810948703609671	0.004939566037548317	0.03845003108773406
NDD.fuTADA	isoExpr.M9_magenta	Networks.isoExpr	1.0961507586820902	2.803482339733932	0.005055400083967009	0.03912936788155256
ASD.fuTADA	isoExpr.M1_turquoise	Networks.isoExpr	1.1931923072487658	2.7800739554814085	0.005434652003874441	0.04182850137813474
NDD.fuTADA	DTE	DGE/DTE/DTU	1.278797819867162	2.7696225427265544	0.005612128853767663	0.042953164970177087
ASD.SFARI.1	isoExpr.M30_steelblue	Networks.isoExpr	1.1095885735163908	2.748259036094728	0.005991265499333876	0.04560018741159672
BIP.bipex	isoExpr.M19_lightyellow	Networks.isoExpr	1.2894515254484176	2.7320554440055376	0.006294054812441016	0.047640083386984486
NDD.fuTADA	isoExpr.M13_salmon	Networks.isoExpr	1.0911070462067909	2.7292060161913314	0.006348702791029807	0.04778968584456503
ASD.SFARI.S	isoExpr.M50_thistle2	Networks.isoExpr	1.151134307823038	2.726052893104475	0.006409672599041795	0.04798498065949322
NDD.fuTADA	isoUsage.M11_greenyellow	Networks.isoUsage	1.1003631699837164	2.7167083574923874	0.0065934679149956274	0.0490926687149131
ASD.fuTADA	isoExpr.M28_skyblue	Networks.isoExpr	1.1208354028505065	2.695846534506812	0.007021000551877927	0.05199335543823114
NDD.fuTADA	isoExpr.M17_grey60	Networks.isoExpr	1.0942754552429543	2.6928422298227144	0.007084578495412353	0.05218211042319851
ASD.fuTADA	isoExpr.M13_salmon	Networks.isoExpr	1.1343265050325466	2.6762160881150376	0.007445862103458123	0.05454989883282155
DDD.kaplanis	isoExpr.M30_steelblue	Networks.isoExpr	1.1003074245695652	2.6708078856282067	0.0075668941098914	0.05514172835399584
ASD.SFARI.1or2	geneExpr.M13_salmon	Networks.geneExpr	1.0796203453989104	2.66743220042203	0.007643330910216421	0.05540403887299733
ASD.fuTADA	isoUsage.M1_turquoise	Networks.isoUsage	1.3194549542908345	2.6593188499697735	0.00782988233818085	0.05645757264898823
DDD.kaplanis	isoUsage.M8_pink	Networks.isoUsage	1.1338627218508541	2.6522159485960315	0.007996537996237691	0.05735736677929653
NDD.fuTADA	ExN-3	SingleCellMarkers	4.361408576004462	2.647470034058367	0.008109654669055366	0.05786576508648881
ASD.SFARI.1	isoExpr.M27_white	Networks.isoExpr	1.1246274168851649	2.645473951515517	0.008157656754173294	0.057906682659157584
DDD.kaplanis	ExM	SingleCellMarkers	3.507009314183158	2.64141511737437	0.008256049227265656	0.05830302804821623
ASD.SFARI.1or2	isoExpr.M27_white	Networks.isoExpr	1.0823214114180189	2.6158634372180978	0.0089002146310103	0.06252971304863646
ASD.fuTADA	DTU	DGE/DTE/DTU	1.4697889431804732	2.6131269506493298	0.008971796943485894	0.06271102965599834
EPI.helbig	isoExpr.M53_palevioletred3	Networks.isoExpr	1.1345119091204305	2.610611858571617	0.009038040883005633	0.0628533807599884
SCZ.schema	isoUsage.M23_darkturquoise	Networks.isoUsage	1.2777039346972656	2.5945791262010514	0.009470681118674416	0.0655294602655755
DDD.kaplanis	isoUsage.M29_saddlebrown	Networks.isoUsage	1.1151318411883204	2.5916420107666767	0.00955191096365191	0.06575938703619658
DDD.kaplanis	ExN-1	SingleCellMarkers	4.924962457134441	2.5845548509582135	0.00975047939378605	0.06679078384743443
ASD.SFARI.1	isoExpr.M53_palevioletred3	Networks.isoExpr	1.1087676113321452	2.577713163113781	0.00994565175087278	0.06778877064027716
ASD.fuTADA	isoExpr.M10_purple	Networks.isoExpr	1.1395740864923656	2.5690662362419148	0.010197296445751467	0.06915988183504708
