"","ensembl_gene_id","external_gene_name","gene_biotype","chromosome_name","start_position","end_position","band"
"29","ENSG00000173862","RP11-89N17.1","protein_coding","7",33765593,33768068,"p14.3"
"30","ENSG00000173867","RP11-97O12.7","processed_transcript","15",89002948,89055760,"q25.3"
"31","ENSG00000174171","RP11-23P13.6","antisense","15",42184991,42190773,"q15.1"
"32","ENSG00000174715","RP11-79L9.2","pseudogene","3",138362716,138363536,"q22.3"
"33","ENSG00000174977","AC026271.5","pseudogene","17",18553508,18554855,"p11.2"
"34","ENSG00000175967","RP11-544L8__B.4","antisense","6",114225302,114242806,"q21"
"35","ENSG00000176043","RP1-146I3.1","pseudogene","14",73396320,73396638,"q24.2"
"36","ENSG00000176593","CTD-2368P22.1","protein_coding","19",58513429,58522600,"q13.43"
"37","ENSG00000176812","RP11-629O4.1","pseudogene","X",25212498,25213324,"p21.3"
"38","ENSG00000176868","AL358781.1","pseudogene","9",134374796,134375537,"q34.13"
"39","ENSG00000177359","RP11-551L14.1","pseudogene","12",31264586,31359088,"p11.21"
"40","ENSG00000177406","RP11-218M22.1","antisense","12",740057,772872,"p13.33"
"41","ENSG00000177452","RP4-597J3.1","pseudogene","1",64254392,64254975,"p31.3"
"42","ENSG00000177738","CTD-2201E18.3","sense_overlapping","5",43014516,43067521,"p12"
"43","ENSG00000177788","RP5-1061H20.4","lincRNA","1",229394028,229406775,"q42.13"
"44","ENSG00000177803","RP11-606P2.1","pseudogene","4",164853678,164854334,"q32.3"
"45","ENSG00000177822","AC108142.1","antisense","4",182795591,183066402,"q34.3"
"46","ENSG00000178146","RP1-232L22__B.1","pseudogene","X",101033942,101035511,"q22.1"
"47","ENSG00000178715","RP11-169K16.8","pseudogene","1",16154724,16155167,"p36.21"
"48","ENSG00000179031","LL0XNC01-131B10.2","pseudogene","X",100165701,100166478,"q22.1"
"49","ENSG00000179038","AP001885.1","protein_coding","11",66963391,66964638,"q13.2"
"50","ENSG00000179101","RP11-349N19.2","pseudogene","X",122648324,122648723,"q25"
"51","ENSG00000179131","RP11-458F8.3","pseudogene","7",66379568,66379930,"q11.21"
"52","ENSG00000179240","RP11-111M22.2","protein_coding","11",76092357,76125663,"q13.5"
"53","ENSG00000179743","RP11-169K16.9","antisense","1",16160560,16174642,"p36.21"
"54","ENSG00000179859","AC025335.1","antisense","17",7816642,7819271,"p13.1"
"55","ENSG00000179978","RP11-1319K7.1","pseudogene","5",69390202,69424261,"q13.2"
"56","ENSG00000179997","AC010894.4","pseudogene","2",175366680,175367043,"q31.1"
"57","ENSG00000180015","RP11-756P10.3","pseudogene","4",189659506,189660648,"q35.2"
"58","ENSG00000180211","RP1-278E11.3","pseudogene","6",39926153,39926572,"p21.2"
"59","ENSG00000180458","CTD-3064H18.4","antisense","19",38036372,38040073,"q13.12"
"60","ENSG00000180574","EIF2S3L","protein_coding","12",10658201,10675734,"p13.2"
"61","ENSG00000181097","RP11-429J17.2","antisense","8",144778324,144780583,"q24.3"
"62","ENSG00000181511","RP4-655L22.4","pseudogene","X",119866948,119867250,"q24"
"63","ENSG00000182000","RP11-651P23.2","pseudogene","3",149702182,149702584,"q25.1"
"64","ENSG00000182109","RP11-69E11.4","antisense","1",39987952,40011859,"p34.3"
"65","ENSG00000182873","RP11-181G12.2","antisense","1",2113233,2115828,"p36.33"
"66","ENSG00000182888","RP11-558O12.1","pseudogene","X",3635190,3635641,"p22.33"
"67","ENSG00000183171","RP11-49C9.2","pseudogene","X",149282609,149284751,"q28"
"68","ENSG00000183308","AC005037.3","antisense","2",201827986,201873825,"q33.1"
"69","ENSG00000184068","RP5-821D11.7","antisense","22",42227219,42230669,"q13.2"
"70","ENSG00000184084","CTD-2372A4.1","pseudogene","5",73099121,73099424,"q13.2"
"71","ENSG00000184188","CTC-512J14.7","pseudogene","5",79595497,79598666,"q14.1"
"72","ENSG00000184441","AP001062.7","antisense","21",45751117,45755734,"q22.3"
"73","ENSG00000185065","AC000068.5","antisense","22",19435416,19437628,"q11.21"
"74","ENSG00000185078","AC093698.1","pseudogene","2",208896107,208896677,"q33.3"
"75","ENSG00000185495","RP11-504P24.4","lincRNA","1",224183659,224198309,"q42.11"
"76","ENSG00000185631","AC017079.3","pseudogene","2",128960935,128961349,"q14.3"
"77","ENSG00000185641","CTD-2287O16.1","pseudogene","5",115387607,115387986,"q23.1"
"78","ENSG00000185839","RP4-592A1.2","pseudogene","1",59096513,59097202,"p32.1"
"79","ENSG00000186019","AC084219.4","antisense","19",44609616,44617298,"q13.31"
"80","ENSG00000186235","AC016757.3","protein_coding","2",239133193,239140318,"q37.3"
"81","ENSG00000186244","RP11-1079K10.1","pseudogene","17",47477791,47478162,"q21.33"
"82","ENSG00000187186","RP11-195F19.5","protein_coding","9",34664160,34666109,"p13.3"
"83","ENSG00000187229","RP11-161I2.1","antisense","8",18578415,18591915,"p22"
"84","ENSG00000187472","RP11-67P15.1","pseudogene","6",99228133,99241868,"q16.1"
"85","ENSG00000187812","RP11-24M17.5","pseudogene","15",76067894,76079239,"q24.2"
"86","ENSG00000188002","RP11-43F13.1","pseudogene","5",1599035,1634120,"p15.33"
"87","ENSG00000188242","CTD-2228K2.5","protein_coding","5",466239,473213,"p15.33"
"88","ENSG00000188512","RP1-273G13.2","pseudogene","8",33827079,33827397,"p12"
"89","ENSG00000188850","RP11-159F24.2","pseudogene","5",43336266,43348818,"p12"
"90","ENSG00000196295","AC005154.6","processed_transcript","7",30555925,30634425,"p14.3"
"91","ENSG00000196390","CTD-2503O16.3","pseudogene","5",74225705,74226391,"q13.3"
"92","ENSG00000196564","RP3-499B10.3","pseudogene","X",18856827,18857570,"p22.13"
"93","ENSG00000196589","CTB-25J19.1","lincRNA","19",7019311,7021442,"p13.2"
"94","ENSG00000196656","AC004057.1","pseudogene","4",114135137,114138326,"q26"
"95","ENSG00000196696","PDXDC2P","processed_transcript","16",70010200,70099851,"q22.1"
"96","ENSG00000197099","RP11-573D15.8","antisense","3",186435038,186478330,"q27.3"
"97","ENSG00000197149","RP11-452G18.2","pseudogene","11",17249817,17250698,"p15.1"
"98","ENSG00000197180","BX936347.1","pseudogene","X",153656537,153656795,"q28"
"99","ENSG00000197301","RP11-366L20.2","protein_coding","12",66245120,66275947,"q14.3"
"100","ENSG00000197332","ZNF833P","lincRNA","19",11750591,11797382,"p13.2"
"101","ENSG00000197670","RP4-724E16.2","antisense","20",52169309,52191847,"q13.2"
"102","ENSG00000197813","CTC-301O7.4","lincRNA","19",49834874,49843865,"q13.33"
"103","ENSG00000197815","AC122129.1","pseudogene","17",17761583,17762295,"p11.2"
"104","ENSG00000198106","SNX29P2","lincRNA","16",29262829,29519817,"p11.2"
"105","ENSG00000198134","RP11-267J23.4","pseudogene","12",12264097,12264423,"p13.2"
"106","ENSG00000198237","RP11-98J23.2","pseudogene","5",69171098,69274436,"q13.2"
"107","ENSG00000198580","AC073343.1","protein_coding","7",6713376,6715991,"p22.1"
"108","ENSG00000199200","Y_RNA","misc_RNA","10",34490908,34491002,"p11.21"
"109","ENSG00000199201","Y_RNA","misc_RNA","10",74951981,74952083,"q22.2"
"110","ENSG00000199204","Y_RNA","misc_RNA","18",31581662,31581763,"q12.1"
"111","ENSG00000199331","Y_RNA","misc_RNA","9",111804666,111804767,"q31.3"
"112","ENSG00000199332","Y_RNA","misc_RNA","6",31369929,31370027,"p21.33"
"113","ENSG00000199366","Y_RNA","misc_RNA","18",21161980,21162085,"q11.2"
"114","ENSG00000199472","Y_RNA","misc_RNA","14",74373019,74373130,"q24.3"
"115","ENSG00000199476","Y_RNA","misc_RNA","3",48330077,48330184,"p21.31"
"116","ENSG00000199546","Y_RNA","misc_RNA","3",49307565,49307672,"p21.31"
"117","ENSG00000199633","SNORA63","snoRNA","15",78383514,78383639,"q25.1"
"118","ENSG00000199676","Y_RNA","misc_RNA","20",34441174,34441286,"q11.23"
"119","ENSG00000199740","Y_RNA","misc_RNA","12",51333710,51333809,"q13.12"
"120","ENSG00000199797","Y_RNA","misc_RNA","22",28699742,28699838,"q12.1"
"121","ENSG00000199875","Y_RNA","misc_RNA","11",93452769,93452881,"q21"
"122","ENSG00000199977","SNORA73","snoRNA","18",19397585,19397789,"q11.2"
"123","ENSG00000200075","SNORA25","snoRNA","8",130880836,130880962,"q24.21"
"124","ENSG00000200090","Y_RNA","misc_RNA","11",47748446,47748544,"p11.2"
"125","ENSG00000200164","Y_RNA","misc_RNA","16",69225026,69225126,"q22.1"
"126","ENSG00000200170","Y_RNA","misc_RNA","10",73980510,73980610,"q22.1"
"127","ENSG00000200237","SNORA70","snoRNA","19",9930630,9930770,"p13.2"
"128","ENSG00000200241","Y_RNA","misc_RNA","2",86387079,86387189,"p11.2"
"129","ENSG00000200287","Y_RNA","misc_RNA","2",144654831,144654929,"q22.3"
"130","ENSG00000200391","Y_RNA","misc_RNA","15",44156091,44156203,"q15.3"
"131","ENSG00000200397","Y_RNA","misc_RNA","7",86847927,86848028,"q21.12"
"132","ENSG00000200591","Y_RNA","misc_RNA","1",33105552,33105653,"p35.1"
"133","ENSG00000200706","SNORD45","snoRNA","6",38175050,38175121,"p21.2"
"134","ENSG00000200737","Y_RNA","misc_RNA","10",99180952,99181064,"q24.1"
"135","ENSG00000200742","Y_RNA","misc_RNA","14",56118252,56118352,"q22.3"
"136","ENSG00000200834","Y_RNA","misc_RNA","9",33830976,33831076,"p13.3"
"137","ENSG00000200842","Y_RNA","misc_RNA","17",60114194,60114306,"q23.2"
"138","ENSG00000200922","Y_RNA","misc_RNA","9",74517371,74517466,"q21.13"
"139","ENSG00000201047","Y_RNA","misc_RNA","10",74842252,74842353,"q22.1"
"140","ENSG00000201071","Y_RNA","misc_RNA","15",64403657,64403768,"q22.31"
"141","ENSG00000201151","SNORD56","snoRNA","20",33704939,33705010,"q11.22"
"142","ENSG00000201209","SNORD42","snoRNA","22",28628744,28628811,"q12.1"
"143","ENSG00000201217","Y_RNA","misc_RNA","3",152167061,152167173,"q25.2"
"144","ENSG00000201228","Y_RNA","misc_RNA","12",31659237,31659338,"p11.21"
"145","ENSG00000201343","Y_RNA","misc_RNA","3",176838479,176838588,"q26.32"
"146","ENSG00000201384","SNORA32","snoRNA","14",77667369,77667483,"q24.3"
"147","ENSG00000201451","Y_RNA","misc_RNA","9",136204565,136204661,"q34.2"
"148","ENSG00000201542","SNORA62","snoRNA","1",35775875,35776026,"p34.3"
"149","ENSG00000201563","Y_RNA","misc_RNA","12",32858337,32858440,"p11.21"
"150","ENSG00000201592","snoU2_19","snoRNA","X",20154424,20154503,"p22.12"
"151","ENSG00000201882","snoU2-30","snoRNA","X",20154184,20154253,"p22.12"
"152","ENSG00000201944","SNORA72","snoRNA","1",205700349,205700480,"q32.1"
"153","ENSG00000202019","Y_RNA","misc_RNA","22",31626057,31626158,"q12.2"
"154","ENSG00000202071","Y_RNA","misc_RNA","3",65989514,65989615,"p14.1"
"155","ENSG00000202078","Y_RNA","misc_RNA","1",160295894,160296006,"q23.2"
"156","ENSG00000202079","Y_RNA","misc_RNA","1",247458137,247458243,"q44"
"157","ENSG00000202222","Y_RNA","misc_RNA","1",40347238,40347350,"p34.2"
"158","ENSG00000202255","Y_RNA","misc_RNA","20",35296962,35297073,"q11.23"
"159","ENSG00000202273","Y_RNA","misc_RNA","7",6252269,6252371,"p22.1"
"160","ENSG00000202279","Y_RNA","misc_RNA","X",135898636,135898733,"q26.3"
"161","ENSG00000202310","Y_RNA","misc_RNA","8",101171096,101171203,"q22.2"
"162","ENSG00000202343","SNORA2","snoRNA","6",149915761,149915895,"q25.1"
"163","ENSG00000202361","Y_RNA","misc_RNA","17",59951445,59951543,"q23.2"
"164","ENSG00000202374","SNORA62","snoRNA","4",68612954,68613104,"q13.2"
"165","ENSG00000202382","Y_RNA","misc_RNA","2",85594708,85594809,"p11.2"
"166","ENSG00000202440","SNORD42","snoRNA","4",83323791,83323859,"q21.22"
"167","ENSG00000202461","Y_RNA","misc_RNA","1",12084069,12084181,"p36.22"
"168","ENSG00000202470","Y_RNA","misc_RNA","12",95669546,95669648,"q22"
"169","ENSG00000202517","SNORA64","snoRNA","3",40280099,40280232,"p22.1"
"170","ENSG00000203262","RP5-961K14.2","pseudogene","X",95325668,95326777,"q21.33"
"171","ENSG00000203279","RP11-498P14.5","lincRNA","9",99962757,100000982,"q22.33"
"172","ENSG00000203280","CTA-221G9.11","antisense","22",25498407,25508659,"q11.23"
"173","ENSG00000203286","AL365202.1","protein_coding","9",3452305,3469181,"p24.2"
"174","ENSG00000203288","RP11-98D18.9","antisense","1",151763280,151766878,"q21.3"
"175","ENSG00000203325","RP11-277A4.4","antisense","1",32517892,32539075,"p35.1"
"176","ENSG00000203362","RP3-337H4.8","antisense","6",43555967,43559099,"p21.1"
"177","ENSG00000203387","AC074019.2","pseudogene","2",229216836,229217931,"q36.3"
"178","ENSG00000203469","RP5-1113E3.3","antisense","1",10518612,10519395,"p36.22"
"179","ENSG00000203472","RP11-77K12.4","antisense","16",75509794,75529305,"q23.1"
"180","ENSG00000203531","AC016712.1","pseudogene","2",223563342,223564203,"q36.1"
"181","ENSG00000203546","RP11-176H8.1","protein_coding","14",31803518,31926647,"q12"
"182","ENSG00000203593","RP5-1096D14.6","antisense","12",2113832,2120558,"p13.33"
"183","ENSG00000203635","AC144450.2","lincRNA","2",1624282,1629191,"p25.3"
"184","ENSG00000203644","AC083799.1","pseudogene","3",129565893,129566800,"q22.1"
"185","ENSG00000203648","AC007618.3","pseudogene","12",2769103,2770135,"p13.33"
"186","ENSG00000203739","RP11-296O14.3","antisense","1",173386932,173430501,"q25.1"
"187","ENSG00000204044","RP11-465L10.10","antisense","20",44642141,44650712,"q13.12"
"188","ENSG00000204055","RP11-247A12.2","antisense","9",131939050,131972827,"q34.11"
"189","ENSG00000204241","RP11-713P17.3","lincRNA","11",133902167,133916744,"q25"
"190","ENSG00000204380","AC005042.4","antisense","2",159514849,159591514,"q24.1"
"191","ENSG00000204429","RP11-1E11.1","pseudogene","9",90795588,90796362,"q22.1"
"192","ENSG00000204460","AC079586.1","lincRNA","2",129999746,130031421,"q21.1"
"193","ENSG00000204556","CTD-2514C3.1","pseudogene","20",25999468,26001320,"p11.1"
"194","ENSG00000204620","AC115618.1","protein_coding","X",48431482,48433275,"p11.23"
"195","ENSG00000204637","AC068538.2","pseudogene","2",101125739,101126077,"q11.2"
"196","ENSG00000204650","CRHR1-IT1","pseudogene","17",43697694,43725582,"q21.31"
"197","ENSG00000204666","CTD-2126E3.1","sense_overlapping","19",50553846,50570050,"q13.33"
"198","ENSG00000204745","AC083899.3","pseudogene","2",87352513,87423770,"p11.2"
"199","ENSG00000204758","CTC-308K20.1","antisense","5",172381789,172386395,"q35.1"
"200","ENSG00000205018","RP11-830F9.6","protein_coding","16",89006197,89017932,"q24.3"
"201","ENSG00000205035","RP11-707M1.1","pseudogene","11",49580098,49831971,"p11.12"
"202","ENSG00000205041","CTC-425O23.2","sense_intronic","19",40779396,40781386,"q13.2"
"203","ENSG00000205056","RP11-693J15.5","lincRNA","12",92860227,92885867,"q22"
"204","ENSG00000205414","RP11-401P9.6","antisense","16",50639987,50647595,"q12.1"
"205","ENSG00000205485","AC004980.7","pseudogene","7",76178677,76257299,"q11.23"
"206","ENSG00000205562","RP11-497E19.1","lincRNA","14",85991477,85996332,"q31.3"
"207","ENSG00000205596","RP5-1132H15.2","pseudogene","7",65535891,65536305,"q11.21"
"208","ENSG00000205625","RP11-15G8.1","pseudogene","6",155027777,155028929,"q25.2"
"209","ENSG00000205644","CTD-2375G15.1","pseudogene","5",64711180,64712049,"q12.3"
"210","ENSG00000205664","RP11-706O15.1","protein_coding","X",3735569,3761898,"p22.33"
"211","ENSG00000205682","RP11-798L4.1","lincRNA","4",62285964,62293939,"q13.1"
"212","ENSG00000205959","RP11-689P11.2","lincRNA","4",8483997,8514337,"p16.1"
"213","ENSG00000206028","CTA-373H7.7","lincRNA","22",27063656,27068617,"q12.1"
"214","ENSG00000206144","RP11-400K9.2","pseudogene","8",54449620,54452860,"q11.23"
"215","ENSG00000206645","Y_RNA","misc_RNA","3",37134624,37134725,"p22.2"
"216","ENSG00000206659","Y_RNA","misc_RNA","1",174991615,174991716,"q25.1"
"217","ENSG00000206721","Y_RNA","misc_RNA","3",119929167,119929268,"q13.33"
"218","ENSG00000206756","Y_RNA","misc_RNA","10",76311150,76311251,"q22.2"
"219","ENSG00000206814","Y_RNA","misc_RNA","5",17117685,17117795,"p15.1"
"220","ENSG00000206878","SNORA51","snoRNA","1",228788183,228788307,"q42.13"
"221","ENSG00000206897","SNORA9","snoRNA","12",124101255,124101387,"q24.31"
"222","ENSG00000206903","SNORA24","snoRNA","15",65577799,65577929,"q22.31"
"223","ENSG00000206913","SNORA7","snoRNA","11",73963459,73963597,"q13.4"
"224","ENSG00000206914","Y_RNA","misc_RNA","12",123252646,123252747,"q24.31"
"225","ENSG00000206967","Y_RNA","misc_RNA","11",108100230,108100331,"q22.3"
"226","ENSG00000206978","Y_RNA","misc_RNA","4",159985449,159985550,"q32.1"
"227","ENSG00000207032","Y_RNA","misc_RNA","9",34389941,34390049,"p13.3"
"228","ENSG00000207034","Y_RNA","misc_RNA","18",2778939,2779055,"p11.32"
"229","ENSG00000207105","Y_RNA","misc_RNA","15",49288109,49288219,"q21.1"
"230","ENSG00000207109","SNORD38","snoRNA","3",53367087,53367155,"p21.1"
"231","ENSG00000207117","Y_RNA","misc_RNA","2",160392755,160392857,"q24.2"
"232","ENSG00000207195","Y_RNA","misc_RNA","4",40828672,40828782,"p14"
"233","ENSG00000207207","Y_RNA","misc_RNA","2",85661630,85661742,"p11.2"
"234","ENSG00000207223","Y_RNA","misc_RNA","15",64945087,64945188,"q22.31"
"235","ENSG00000207235","Y_RNA","misc_RNA","17",57338109,57338207,"q22"
"236","ENSG00000207303","Y_RNA","misc_RNA","2",217216126,217216227,"q35"
"237","ENSG00000207368","Y_RNA","misc_RNA","3",195140165,195140275,"q29"
"238","ENSG00000207417","Y_RNA","misc_RNA","8",75288922,75289028,"q21.11"
"239","ENSG00000207484","Y_RNA","misc_RNA","15",52176753,52176850,"q21.2"
"240","ENSG00000207497","Y_RNA","misc_RNA","4",186631027,186631121,"q35.1"
"241","ENSG00000207525","Y_RNA","misc_RNA","16",74497786,74497886,"q23.1"
"242","ENSG00000212175","SNORA12","snoRNA","2",55792839,55792986,"p16.1"
"243","ENSG00000212338","SNORA67","snoRNA","1",179165608,179165714,"q25.2"
"244","ENSG00000212567","SNORA57","snoRNA","5",40790179,40790306,"p13.1"
"245","ENSG00000212624","SNORA26","snoRNA","1",52190447,52190568,"p32.3"
"246","ENSG00000212664","RP11-592N21.1","pseudogene","15",71633466,71634086,"q23"
"247","ENSG00000212695","RP11-134K1.2","pseudogene","9",8713311,8713841,"p24.1"
"248","ENSG00000212743","DKFZP667F0711","protein_coding","10",6392278,6394723,"p15.1"
"249","ENSG00000212978","AC016747.3","processed_transcript","2",61368732,61372104,"p15"
"250","ENSG00000213018","AL590762.11","pseudogene","X",70639933,70640364,"q13.1"
"251","ENSG00000213036","RP11-365D23.4","pseudogene","1",214656156,214656730,"q41"
"252","ENSG00000213041","RP11-383G10.3","pseudogene","1",205171319,205171870,"q32.1"
"253","ENSG00000213058","RP4-765C7.2","pseudogene","1",178380751,178381107,"q25.2"
"254","ENSG00000213060","RP4-612B18.3","pseudogene","1",171772657,171773079,"q24.3"
"255","ENSG00000213062","AL021068.1","pseudogene","1",169455380,169456846,"q24.2"
"256","ENSG00000213067","RP11-760D2.10","pseudogene","7",56665072,56666035,"p11.2"
"257","ENSG00000213068","RP11-277B15.1","pseudogene","1",167131660,167132074,"q24.1"
"258","ENSG00000213073","RP11-288H12.3","pseudogene","6",160514114,160517244,"q25.3"
"259","ENSG00000213078","RP5-933K21.2","pseudogene","6",157787022,157787955,"q25.3"
"260","ENSG00000213080","RP11-312J18.5","pseudogene","1",160864770,160865866,"q23.3"
"261","ENSG00000213087","RP11-613F7.1","pseudogene","6",151546685,151547082,"q25.1"
"262","ENSG00000213090","AC007256.5","pseudogene","2",202275267,202278031,"q33.1"
"263","ENSG00000213109","RP11-55K22.2","pseudogene","6",137221371,137222667,"q23.3"
"264","ENSG00000213144","RP11-64B16.2","pseudogene","12",119632655,119633199,"q24.23"
"265","ENSG00000213148","AC073465.1","pseudogene","2",174296077,174296540,"q31.1"
"266","ENSG00000213155","RP11-252O18.3","pseudogene","3",181584139,181584942,"q26.33"
"267","ENSG00000213157","RP11-259P15.1","pseudogene","3",180605465,180605863,"q26.33"
"268","ENSG00000213169","RP11-393N4.2","pseudogene","3",174095034,174095795,"q26.31"
"269","ENSG00000213174","RP11-373E16.1","pseudogene","3",170371635,170372048,"q26.2"
"270","ENSG00000213178","RP11-641D5.1","pseudogene","3",169201459,169201868,"q26.2"
"271","ENSG00000213184","RP11-335F8.2","pseudogene","11",122888346,122889369,"q24.1"
"272","ENSG00000213197","AC012066.1","pseudogene","2",153246451,153247144,"q23.3"
"273","ENSG00000213204","C6orf165","protein_coding","6",88117730,88221352,"q15"
"274","ENSG00000213209","AC005229.7","pseudogene","7",148334271,148334679,"q36.1"
"275","ENSG00000213210","AC005229.5","pseudogene","7",148277493,148277891,"q36.1"
"276","ENSG00000213237","AC008155.1","pseudogene","7",138088940,138089268,"q33"
"277","ENSG00000213247","RP11-479A21.1","pseudogene","10",112864714,112865006,"q25.2"
"278","ENSG00000213269","AC004386.4","pseudogene","X",73595960,73596720,"q13.2"
"279","ENSG00000213280","RP11-212P7.1","pseudogene","7",128210295,128210742,"q32.1"
"280","ENSG00000213291","RP11-420H19.3","pseudogene","7",124940558,124940932,"q31.33"
"281","ENSG00000213293","CTD-2666L21.3","pseudogene","19",12370941,12371352,"p13.2"
"282","ENSG00000213303","CTC-398G3.2","pseudogene","19",11634251,11634646,"p13.2"
"283","ENSG00000213304","CTC-398G3.1","pseudogene","19",11632783,11633313,"p13.2"
"284","ENSG00000213315","CTD-3035D6.1","pseudogene","14",91232875,91233333,"q32.11"
"285","ENSG00000213361","RP4-778K6.1","pseudogene","7",104885099,104885417,"q22.3"
"286","ENSG00000213383","AC104297.1","pseudogene","3",17913221,17914090,"p24.3"
"287","ENSG00000213385","RP11-577H5.1","pseudogene","7",102395593,102396386,"q22.1"
"288","ENSG00000213393","RP11-546B8.1","pseudogene","5",170772347,170772634,"q35.1"
"289","ENSG00000213399","AC022210.2","pseudogene","2",85142910,85143789,"p11.2"
"290","ENSG00000213414","CTB-47B8.5","pseudogene","5",157413154,157414714,"q33.3"
"291","ENSG00000213461","RP13-235E23.1","pseudogene","6",41275904,41276303,"p21.1"
"292","ENSG00000213480","RP11-364P2.2","pseudogene","4",122290588,122291500,"q27"
"293","ENSG00000213486","AC108039.1","pseudogene","2",61937211,61938113,"p15"
"294","ENSG00000213488","CTB-85P21.1","pseudogene","5",143901703,143902551,"q31.3"
"295","ENSG00000213514","RP11-428P16.2","pseudogene","10",79490524,79494527,"q22.3"
"296","ENSG00000213519","AC132008.1","pseudogene","3",197307215,197307500,"q29"
"297","ENSG00000213525","RP11-383B24.3","pseudogene","10",76504144,76504465,"q22.2"
"298","ENSG00000213542","RP11-467H10.1","pseudogene","7",76744716,76745509,"q11.23"
"299","ENSG00000213557","RP11-240E2.2","pseudogene","9",110802494,110802873,"q31.2"
"300","ENSG00000213560","RP11-386I14.3","pseudogene","1",78557183,78557738,"p31.1"
"301","ENSG00000213569","RP13-383K5.4","pseudogene","X",106374889,106375499,"q22.3"
"302","ENSG00000213579","RP4-595K12.1","pseudogene","1",76047784,76048240,"p31.1"
"303","ENSG00000213592","AP000662.9","pseudogene","11",57485516,57486002,"q12.1"
"304","ENSG00000213598","RP11-112J1.1","pseudogene","14",59261372,59261747,"q23.1"
"305","ENSG00000213600","U73169.1","pseudogene","3",50277054,50277416,"p21.31"
"306","ENSG00000213642","RP11-561N12.5","pseudogene","7",64029806,64030815,"q11.21"
"307","ENSG00000213650","RP11-760D2.7","pseudogene","7",56635599,56636551,"p11.2"
"308","ENSG00000213655","CTD-2347I17.1","pseudogene","5",122571773,122572064,"q23.2"
"309","ENSG00000213663","CTD-2158P22.1","pseudogene","5",118882826,118883301,"q23.1"
"310","ENSG00000213669","RP11-476B13.2","pseudogene","9",95439225,95439689,"q22.31"
"311","ENSG00000213683","AC002056.3","pseudogene","22",51193096,51193862,"q13.33"
"312","ENSG00000213698","RP1-172N19.4","pseudogene","X",71947802,71948646,"q13.2"
"313","ENSG00000213703","RP5-849H19.2","pseudogene","1",63106793,63107338,"p31.3"
"314","ENSG00000213729","AC098828.3","pseudogene","2",20355379,20355818,"p24.1"
"315","ENSG00000213739","AC007679.1","pseudogene","2",206813815,206814869,"q33.3"
"316","ENSG00000213750","KB-1683C8.1","pseudogene","8",98636431,98637307,"q22.1"
"317","ENSG00000213754","RP11-284B18.3","pseudogene","X",63524927,63526613,"q11.2"
"318","ENSG00000213757","CTC-451P13.1","pseudogene","5",78579955,78580741,"q14.1"
"319","ENSG00000213791","RP11-941H19.2","pseudogene","8",81213104,81213716,"q21.13"
"320","ENSG00000213798","AC004129.9","pseudogene","7",25251789,25252584,"p15.3"
"321","ENSG00000213846","AC098614.2","pseudogene","3",27674467,27675211,"p24.1"
